label,channel,delta_power,theta_power,alpha_power,beta_power
0,Fp2-F4,1.9015479240516652e-10,5.357354915342685e-12,5.656328771468258e-13,1.146448179291445e-12
0,F4-C4,4.391923265344673e-11,3.459999412167809e-12,2.6432608075000444e-12,1.423430830839592e-12
0,C4-P4,1.8271016179166995e-10,1.3315796355720005e-11,5.03150908608091e-12,4.256365019172671e-12
0,P4-O2,3.541737058749814e-10,5.0388868198591265e-12,8.961998979191276e-13,1.903235338088711e-12
0,Fp1-F3,7.099182371436904e-11,2.0251037632074845e-11,6.000222611201013e-12,3.8687828839510915e-12
0,F3-C3,2.0233671994142167e-08,2.25671994354541e-09,7.975333551327223e-10,6.630541148399809e-10
0,C3-P3,1.9645209236871214e-08,2.318368543503978e-09,8.131309969863478e-10,6.295145491741526e-10
0,P3-O1,3.875102192337538e-11,7.923966012700362e-12,1.5108373355958403e-12,3.526800010693987e-12
0,Fp2-F8,2.1254534057670953e-10,6.504032755815992e-12,2.4121553908986148e-12,7.067348152549697e-13
0,F8-T4,1.8320750206854099e-10,5.91457748689342e-12,4.415054201402146e-12,8.085253694489857e-12
0,T4-T6,8.590489925974976e-11,3.67656363376391e-12,5.033495469021295e-12,9.576952137158783e-12
0,T6-O2,6.872328688073923e-11,1.445556987917232e-12,1.8000642722217147e-12,3.700096751001148e-12
0,Fp1-F7,1.1708830408777894e-10,2.7315559274233393e-12,5.440877312289819e-12,5.743477351938502e-12
0,F7-T3,8.719365163815277e-11,1.0603856415336117e-11,4.254867863213902e-12,7.253640176857044e-12
0,T3-T5,1.5527685123213286e-10,7.1605235866347835e-12,2.519769760897119e-11,6.957199378683341e-11
0,T5-O1,6.860572221819608e-11,5.361164712315343e-12,9.078732441146764e-12,5.6201585131830606e-11
0,Fz-Cz,8.439275534008105e-12,1.8080427433011345e-11,1.3509500843973204e-11,2.147784769795993e-12
0,Cz-Pz,3.68536365706866e-11,7.8401917500324e-12,5.740103754110058e-12,3.2318276780519094e-12
0,Fp2-F4,1.4812923265355866e-10,2.3118211923684907e-12,2.2979690809759173e-13,5.187447833941737e-13
0,F4-C4,2.525354359670355e-11,9.724824339897725e-13,1.9512274071361228e-12,4.19161046028044e-13
0,C4-P4,2.7832821644791752e-11,2.7005665189588416e-12,4.930192748925372e-12,2.4149705536166643e-12
0,P4-O2,4.7323285405008806e-11,1.4695461682909798e-11,4.517997669935089e-12,3.668912910624196e-12
0,Fp1-F3,2.7081255603960145e-10,1.4245599431023558e-11,3.187571344965395e-12,4.089520406374889e-12
0,F3-C3,6.1455416843406666e-09,1.9420051735483832e-10,4.237128209593619e-11,1.2155331810172048e-11
0,C3-P3,4.8389995009423e-09,2.068171752435297e-10,3.702247509978839e-11,1.5072721767244465e-11
0,P3-O1,1.2833223381952428e-10,2.8929881526888782e-11,8.626550069207251e-12,6.059972995668671e-12
0,Fp2-F8,3.4715632186104196e-11,1.2519202948267952e-12,3.2485788169627323e-12,5.07674387255321e-13
0,F8-T4,8.727081122071402e-12,4.012202406021081e-12,2.863118476914375e-12,4.558339968405786e-12
0,T4-T6,2.8996642298319224e-11,4.475997779742273e-11,6.6138404790972646e-12,6.26295352602227e-12
0,T6-O2,4.840640914744299e-11,1.2939106540273911e-11,3.1519027198238817e-12,3.1803467629376892e-12
0,Fp1-F7,4.429455665798793e-11,1.1004512496450175e-11,3.0967262419927028e-12,2.1055424390199498e-12
0,F7-T3,5.884910747093757e-11,3.180125169307702e-11,1.1232692513749897e-11,9.188447992929729e-12
0,T3-T5,2.088325185866817e-10,2.421914522325546e-11,4.479137284014249e-12,1.6430088652530836e-11
0,T5-O1,4.55130470894175e-11,1.1495033926761372e-11,5.264059287480863e-12,1.737191588354865e-11
0,Fz-Cz,7.943984775888161e-11,1.4720467209412656e-11,2.8107263661612403e-12,5.7015606879741435e-12
0,Cz-Pz,6.885063334054776e-11,1.718335833108825e-11,2.9731221359211806e-12,1.4273024747693537e-12
0,Fp2-F4,1.2179608915401554e-11,5.149466484842891e-12,1.7914724681512622e-12,9.236386092393305e-13
0,F4-C4,2.6564781124491965e-11,4.9632618343691766e-12,2.8713083381257113e-12,1.0250446350291082e-12
0,C4-P4,6.051079747183466e-11,9.817753573715882e-12,5.170072230362629e-12,2.57260740901634e-12
0,P4-O2,8.94347975949302e-11,6.21399012488018e-12,2.9966817856176378e-12,1.6303913050062647e-12
0,Fp1-F3,1.1600261755019159e-10,6.302740087503504e-11,9.152170278175322e-12,5.056430159586668e-12
0,F3-C3,8.885772146760753e-10,4.179839050120324e-11,2.278591752748814e-11,8.836347369514423e-12
0,C3-P3,1.3439065513433513e-09,4.7266493792969114e-11,2.8687578795420494e-11,4.454528994177747e-12
0,P3-O1,4.4420210168941486e-11,3.4218177329238183e-12,1.208380055142332e-12,3.1994741080936216e-12
0,Fp2-F8,3.2172699602696865e-11,5.778211631087843e-12,2.007426500687449e-12,1.2191100165429449e-12
0,F8-T4,8.964810363209183e-12,8.171166492476754e-12,9.578295404843793e-12,1.5714124222759342e-12
0,T4-T6,1.8040084220042005e-11,4.290433599278951e-12,8.145345270608087e-12,9.012649652973775e-12
0,T6-O2,7.671198712645945e-11,1.2844196454560531e-11,2.6890770503476214e-12,2.0054502066464187e-12
0,Fp1-F7,1.9625679353237362e-11,6.623651306948556e-12,3.961962355932103e-12,1.895592010760429e-12
0,F7-T3,2.7796783677699138e-11,2.7472111171359292e-11,2.3653540592871085e-11,9.116142441569656e-12
0,T3-T5,4.408698629036234e-11,7.491376519805377e-11,1.544471901752867e-11,1.2687287861684611e-11
0,T5-O1,7.558290638260507e-11,2.6439542541864964e-11,5.711331839919232e-12,7.731310134542725e-12
0,Fz-Cz,6.815592645802888e-11,8.40135265701964e-12,7.194177976907368e-12,3.3469507869558667e-12
0,Cz-Pz,4.022235404776364e-11,2.9941076833664855e-12,5.43818268062374e-12,2.5879819561655995e-12
0,Fp2-F4,1.1095064577894336e-10,4.5895124203245095e-12,6.969067424542307e-12,1.2173413361102763e-12
0,F4-C4,3.929924023649493e-11,5.3860941373554854e-12,1.7276764040299663e-12,1.4554385564571733e-12
0,C4-P4,2.289556646089598e-11,2.0562398327960268e-11,3.0083800959288584e-12,5.3208172287373595e-12
0,P4-O2,4.952680350194175e-11,1.826703027878804e-12,5.894186712980016e-13,2.010406201504103e-12
0,Fp1-F3,1.1133853451598972e-11,2.444755207073569e-12,4.880037170884615e-12,1.4699915204355992e-12
0,F3-C3,1.1068610351171977e-11,8.135591211447968e-12,3.01119136985101e-12,4.531353529695189e-12
0,C3-P3,8.26778416234392e-12,5.353411617919562e-12,5.0450372595361865e-12,4.4617772092429905e-12
0,P3-O1,2.6357412941963764e-11,1.0779853696666275e-11,6.029090298917681e-12,2.25301907139952e-12
