label,channel,delta_power,theta_power,alpha_power,beta_power
0,Fp2-F4,6.6756337167831735e-12,8.945019950746487e-13,5.2769245334799e-13,1.1148874276764556e-11
0,F4-C4,1.2716489696911154e-12,1.1794981525833417e-12,2.681203396556105e-12,1.0507103939055797e-12
0,C4-P4,3.9750644443584735e-12,1.9425004287442622e-12,8.979450503000242e-13,1.1606096924980845e-13
0,P4-O2,1.041711319974916e-11,2.3390041051364188e-12,1.8066207136670467e-12,1.4925859077862849e-12
0,Fp1-F3,3.3322231731962104e-11,2.995671531110759e-12,6.54355077101021e-13,6.894695072458939e-12
0,F3-C3,7.050847718818778e-12,3.046308919696133e-12,4.773973826180423e-13,5.188154512341078e-13
0,C3-P3,1.3488044371931218e-11,9.319693369272989e-12,1.3913030176033848e-12,2.952362136650505e-13
0,P3-O1,1.2312503665203137e-11,4.006363111811192e-12,1.024043206348801e-12,1.5894631341272902e-12
0,Fp2-F8,1.3920806673073779e-11,3.3578631821457344e-13,9.687412349100996e-13,2.175622647871392e-11
0,F8-T4,1.465326110598529e-12,7.417042744969908e-13,1.8832620788194566e-13,1.3825824893651811e-11
0,T4-T6,1.3746411825821437e-11,2.631538777845211e-12,4.2920677206245415e-13,4.458420704985756e-12
0,T6-O2,1.3939145285917037e-11,2.132731616550331e-12,6.831870752510835e-13,8.878532429483432e-12
0,Fp1-F7,1.1732708183484986e-11,1.2890855100320466e-12,7.810279770654496e-13,1.0078923024746098e-11
0,F7-T3,7.112666466356876e-12,2.337710519202085e-12,4.332254288690282e-13,1.5042768466131386e-11
0,T3-T5,2.4128733433560734e-11,1.1657695927946692e-11,9.43032921345798e-13,6.547100412117966e-12
0,T5-O1,2.049508819191948e-12,4.4769337791409e-12,1.1915228733857922e-12,2.8286511403377735e-12
0,Fz-Cz,3.5283872169551214e-12,4.864246434586985e-12,2.2599225623921177e-12,3.2363628954076554e-13
0,Cz-Pz,3.621207490322425e-11,1.2710121318495071e-11,6.961322317239869e-12,7.133577614903633e-13
0,Fp2-F4,7.30192435126661e-12,2.26212719083885e-12,3.347353699367413e-13,1.708469467561276e-11
0,F4-C4,1.419941006556447e-11,4.1597258203059335e-12,2.4088783530101058e-12,4.98494586079148e-13
