label,channel,delta_power,theta_power,alpha_power,beta_power
1,Fp2-F4,4.000598775491734e-11,4.6280236542502874e-12,3.290389279099205e-12,5.531149974863995e-11
1,F4-C4,9.991999905725135e-11,3.859627825566974e-11,8.158645643487432e-12,9.063937815485251e-12
1,C4-P4,1.046425192650987e-10,5.3729463527667604e-11,2.393743712434378e-12,4.298653203081202e-12
1,P4-O2,5.0633596341661283e-11,3.813355299881927e-11,7.366073960038518e-12,3.0665555046381172e-12
1,Fp1-F3,1.013842049755224e-10,3.6746738007196264e-11,4.333719102471847e-12,1.3235473292024283e-11
1,F3-C3,4.186820185750241e-11,5.304229515331001e-11,4.896901931984349e-12,6.2589524214435764e-12
1,C3-P3,8.329666372653256e-11,1.014725974767449e-10,5.660209414641691e-12,6.289336007759338e-12
1,P3-O1,1.3874946058287156e-10,1.838110937455454e-11,1.2162262694468553e-11,1.064984308693789e-11
1,Fp2-F8,9.242083184426472e-11,2.931782461769124e-12,3.108026027585974e-12,3.6109299919865885e-11
1,F8-T4,1.784989566375379e-11,5.821700596619797e-12,6.582559916303143e-12,3.905961736490623e-12
1,T4-T6,4.8312130904294565e-11,3.816274222653853e-11,4.011603058599041e-12,2.5122373814005377e-12
1,T6-O2,1.3946180979895003e-10,1.2872326984702027e-10,7.666935047725267e-12,8.056574950773748e-12
1,Fp1-F7,3.6573156994251194e-11,2.1035278659865905e-11,1.9567078099291384e-11,1.2084592294190898e-11
1,F7-T3,3.455616134157531e-11,3.517915852766475e-11,2.1557892980128814e-11,1.0758386397589162e-11
1,T3-T5,1.293102477599868e-10,2.2501518991603433e-10,4.870715770917586e-11,2.5642120334242806e-11
1,T5-O1,3.748667762457185e-11,4.054553103796616e-11,1.6699098642339454e-11,1.3882127642368046e-11
1,Fz-Cz,1.5326423661271035e-10,9.925715354535266e-11,6.052331486986143e-12,5.249190029483229e-12
1,Cz-Pz,1.7652904196178396e-10,8.82773797960918e-11,6.315670276453972e-12,2.5059284927222028e-12
1,Fp2-F4,3.380292682662995e-11,6.5446958823009245e-12,5.7346687438144415e-12,2.1567369512618608e-11
1,F4-C4,8.724490657453572e-12,4.346053518823391e-12,1.0604820027769983e-12,6.462688521964413e-12
1,C4-P4,1.7227657560742214e-10,1.841184599967634e-11,9.771303919956773e-12,7.321691427211564e-12
1,P4-O2,5.165303138453357e-11,6.061913674227899e-11,1.0888234275092004e-11,1.4375403604204728e-11
1,Fp1-F3,1.3604714776022394e-11,2.2367330766001385e-12,9.121067024035911e-13,1.0545952860013222e-11
1,F3-C3,2.613979600230824e-11,2.861385207459126e-11,2.1482641794243395e-11,2.0230077786298907e-11
1,C3-P3,1.4105559245538003e-10,7.36757911313908e-11,1.9278084860543077e-11,2.0187345705851352e-11
1,P3-O1,1.3380863993953234e-10,1.2784134968425475e-10,3.9570970693494515e-11,2.8042472305478272e-11
1,Fp2-F8,1.0898040659495695e-11,6.508992624487089e-12,3.869795342365835e-12,1.7272457660686593e-11
1,F8-T4,1.0874053521341115e-11,4.940694887281902e-12,1.3946690158669062e-12,1.900038578319449e-12
1,T4-T6,1.3012659229841362e-10,1.5941032930522677e-11,6.9313336018216324e-12,4.10697886587448e-12
1,T6-O2,9.641155071113293e-11,5.811010019974683e-11,2.356129825100097e-11,1.9812578405157545e-11
1,Fp1-F7,1.176392828152042e-10,1.3527013501278823e-11,5.927325467703523e-12,1.3792080649469214e-11
1,F7-T3,8.454665581210488e-11,1.2603768853263565e-10,6.529097765623711e-11,1.7982227569647595e-11
1,T3-T5,6.322623615684176e-10,4.689418537912084e-10,8.041597244918117e-11,8.470267135278979e-11
1,T5-O1,7.566919669530333e-11,4.5805595303584447e-11,1.840793771994015e-11,1.5447366453213117e-11
1,Fz-Cz,8.590014476672577e-11,1.7384607729142674e-11,1.486704422431501e-11,1.3339869264338843e-11
