label,channel,delta_power,theta_power,alpha_power,beta_power
0,Fp2-F4,1.6180559452728088e-11,3.3692892182528566e-12,1.2926776413965647e-12,2.030559599348296e-12
0,F4-C4,9.419758558362635e-12,1.547030151814638e-11,1.0525486455429505e-11,6.063911195808188e-12
0,C4-P4,2.79974199742249e-10,3.630495538483199e-11,5.278923970556519e-12,4.0021386535825614e-12
0,P4-O2,2.2568812183249908e-11,6.436892835323794e-12,2.798513297087696e-12,1.8094646362690574e-12
0,Fp1-F3,7.367630620153246e-12,3.4612145717714957e-12,3.6840883177047475e-13,8.669161014784358e-13
0,F3-C3,4.893588728093246e-11,1.2880646245707412e-12,1.7355739356396604e-12,1.3794599304865036e-12
0,C3-P3,1.7820064192070173e-11,5.042536829188648e-12,7.701602494311441e-13,1.5580483193425786e-12
0,P3-O1,5.0908512360736686e-11,6.542472225546652e-12,7.741694266890377e-13,2.795259301949671e-12
0,Fp2-F8,8.725885651611663e-12,1.6405494689466715e-12,1.688530246405085e-12,2.1214966512295917e-12
0,F8-T4,9.699275500762848e-12,1.600639910182908e-11,1.1774915517008731e-12,6.8285647862191145e-12
0,T4-T6,1.8111520591529333e-11,7.340729181196684e-12,4.135121339817038e-12,3.3641556302126676e-12
0,T6-O2,3.885148457685266e-11,2.59633826224963e-12,4.360807213653646e-12,2.0923438878891143e-12
0,Fp1-F7,1.9093091443110715e-11,1.8990249296751066e-12,2.151582986526457e-12,1.0286171469903632e-12
0,F7-T3,3.8009336884034834e-11,5.024357839164269e-12,7.504736798256219e-13,1.931333109482271e-12
0,T3-T5,1.8045182223002643e-10,3.3777550909141007e-12,9.13457418559963e-13,2.878577794638221e-12
0,T5-O1,3.888184994028062e-11,9.419109855964662e-12,1.341310613858636e-12,2.0990158444692694e-12
0,Fz-Cz,3.364017723978879e-11,7.187688709571212e-12,2.3365370580542148e-12,3.784423339658181e-12
0,Cz-Pz,1.3535716864989136e-10,1.7658889047636348e-11,4.16653464351366e-12,2.4578976573943627e-12
0,Fp2-F4,6.341673975033385e-13,6.2149000883897e-13,6.49834610708742e-14,9.747885367667426e-13
0,F4-C4,8.694197651203311e-11,1.783150178564601e-12,2.1816668919181204e-12,1.6548998557003725e-12
0,C4-P4,3.804287438128639e-11,1.931968539741199e-12,2.930316754824917e-12,1.242016772908153e-12
0,P4-O2,9.406673737622427e-12,8.246893420443117e-13,7.847578320882217e-13,3.1360734122054827e-13
0,Fp1-F3,2.487020184637542e-12,1.6308547991351633e-13,8.211884333724626e-14,2.8688048216918543e-13
0,F3-C3,2.4337963813068204e-11,5.56178253559195e-13,1.6869592796849747e-13,3.607480623046345e-13
0,C3-P3,1.0256695497714257e-11,1.5540007856510408e-12,2.5212127559221587e-12,6.5912974321829175e-12
0,P3-O1,2.6077426463399167e-12,1.4254268696018627e-12,2.2533300854625246e-12,6.713546188995994e-12
0,Fp2-F8,1.7341410138291213e-11,4.472518857447742e-13,1.9708261746842344e-13,1.9329000468467604e-12
0,F8-T4,1.309891055600716e-11,6.672144050943461e-13,1.0393904223001949e-12,1.322293638089565e-12
0,T4-T6,1.5753324853552123e-11,8.264024594422124e-13,1.6738456100522647e-13,5.874685698798738e-13
0,T6-O2,2.9521236097768536e-11,7.999733696331079e-13,1.0302290942441094e-12,1.219798410506003e-12
0,Fp1-F7,1.020774604769227e-11,5.173787914622059e-13,1.0542531705086125e-13,1.533040698801507e-12
0,F7-T3,1.120086581892874e-11,1.83284561182924e-12,6.296705608512945e-13,3.768185382471377e-12
0,T3-T5,1.4074686104467154e-11,8.160946012823693e-13,1.287778993194689e-13,1.8427194452919946e-12
0,T5-O1,1.0399426545943365e-11,2.7600078988234184e-12,5.014173910467483e-13,1.4795567738936491e-12
0,Fz-Cz,7.69743777003387e-11,1.706665036098469e-12,2.0895126530557255e-12,3.918954154028699e-12
0,Cz-Pz,2.2620642378942144e-11,6.989027894856087e-13,6.985642850734298e-13,3.6829809375814974e-13
0,Fp2-F4,1.2096627363944894e-12,1.2225807561170542e-13,5.05794598998651e-14,9.860662451751206e-13
0,F4-C4,4.604085815628572e-12,6.803002608895189e-14,3.864466822890385e-14,2.1565579234924764e-13
0,C4-P4,2.904921947146912e-11,2.169238688564895e-13,1.7565315171466924e-13,1.44469687241854e-13
