label,channel,delta_power,theta_power,alpha_power,beta_power
0,Fp2-F4,2.551158896412855e-10,3.3985941015823765e-11,2.3811838996909357e-12,7.209626258391467e-13
0,F4-C4,3.496405420294928e-10,3.962637291706128e-11,4.5586990226268715e-12,1.4811711528317564e-12
0,C4-P4,2.0062170434505167e-10,4.64942853545993e-12,1.2728438443397407e-12,1.2404284852720829e-12
0,P4-O2,1.8600431443051732e-10,3.1732147587209625e-11,2.913846866219967e-12,3.0516043499287e-12
0,Fp1-F3,1.5111995365425847e-09,4.924461313166857e-11,1.090406990072935e-12,8.685921199687892e-13
0,F3-C3,1.20057419542615e-09,2.965387963151584e-11,2.76950387367138e-12,1.1868696678356065e-12
0,C3-P3,1.4183762624555157e-10,6.7567252296219235e-12,2.6355303132020667e-12,1.347911340607952e-12
0,P3-O1,4.760167408143021e-10,9.822248369298324e-12,1.3707662553221583e-12,1.058394178336908e-12
0,Fp2-F8,6.030639202766275e-10,5.0995436470502103e-11,3.2039485940715124e-12,1.8709732963814305e-12
0,F8-T4,1.5546584199943007e-10,3.5161649826011244e-11,3.716410804018275e-12,1.6916768897708222e-12
0,T4-T6,2.2980129480785747e-10,4.5776698063899194e-11,6.64322327260924e-12,1.2075320035817216e-11
0,T6-O2,3.556370401263019e-11,8.842725329365912e-12,2.48794736091436e-12,9.93486044208372e-12
0,Fp1-F7,2.1109243820208288e-09,4.992502161222356e-11,4.4813182622628584e-12,1.6230292555963389e-12
0,F7-T3,6.506017032824938e-10,1.2688283620826782e-11,2.4205214674364058e-12,2.771910814940638e-12
0,T3-T5,6.079579124613725e-11,1.7356646198900462e-11,2.529458948851348e-12,1.4631978282576538e-12
0,T5-O1,2.724928877041941e-11,3.7022551244229765e-12,4.650328513025724e-13,7.036889470262893e-13
0,Fz-Cz,1.1780519614240954e-09,2.9512530043613534e-11,1.0599047626715375e-11,2.4470002034464905e-12
0,Cz-Pz,7.297949994794788e-10,8.908731558085478e-11,1.8934479674003003e-11,3.6065654655042354e-12
0,Fp2-F4,3.406758531767316e-10,5.2624477319829805e-11,2.1656269369658257e-11,3.495735159473184e-12
0,F4-C4,3.8861478516595206e-10,2.100127769890987e-11,3.3183933919260535e-12,1.0387115030982274e-12
0,C4-P4,1.30794246139897e-10,5.5896377693265365e-12,4.050397366047703e-12,1.086758537747588e-12
0,P4-O2,6.663465228200337e-11,2.4023902834880803e-11,4.244203549907255e-12,1.5296426336886327e-12
0,Fp1-F3,4.6067368732168187e-11,3.791263384902209e-11,2.2599364034211965e-12,5.151796008635013e-13
0,F3-C3,1.8160103230171092e-10,8.690819895552812e-12,1.5520783562881095e-12,3.9183363038290594e-13
0,C3-P3,7.61312615695782e-11,2.2960745134008543e-12,1.6721071290823027e-12,2.8885996026485193e-13
0,P3-O1,9.570884109303962e-11,2.8911564685488824e-11,3.4169455060576994e-12,6.046314356114913e-13
0,Fp2-F8,1.941207030646918e-10,2.6936405750200527e-11,1.3933029144926749e-11,2.47767243759063e-12
0,F8-T4,8.669386428213414e-12,1.0965895553027301e-11,1.2617263723602854e-11,5.9643916954673596e-12
0,T4-T6,7.478429667169219e-10,1.2142548046146056e-10,2.6152588829471208e-11,1.4035318750400148e-11
0,T6-O2,6.847828098092875e-11,7.833637416509216e-12,1.0438125351863106e-12,6.35729560787602e-12
0,Fp1-F7,1.5528494484686688e-10,5.066876160597632e-11,4.28234942054368e-12,1.8113205076056607e-12
0,F7-T3,2.450953798370964e-11,5.19762282981063e-12,2.3636896389416884e-12,2.101499919837588e-12
0,T3-T5,5.943189691110418e-11,7.214892572882965e-12,1.0247073989388535e-11,2.108801721780729e-12
0,T5-O1,1.858902264474379e-11,1.3225812793934355e-11,9.479411700077721e-13,3.365866311483746e-13
0,Fz-Cz,2.719720453866798e-10,4.678029012775409e-11,2.797334646027036e-12,8.177805566639952e-13
0,Cz-Pz,3.0600684727456643e-10,1.0756342330673643e-11,3.7579817786469795e-12,1.149638545337705e-12
0,Fp2-F4,1.45714086906415e-09,3.0440007912965224e-10,3.3586152094143395e-11,1.3916169221782057e-11
0,F4-C4,6.196207053179319e-09,3.835218792805594e-10,6.638223136297175e-11,2.0291921267496163e-11
0,C4-P4,4.961370557434742e-10,4.693596775851196e-11,1.8850118987528807e-11,2.8298812992008563e-12
0,P4-O2,2.8529470902928106e-10,4.025222968508599e-11,4.149299428186886e-12,4.762738551345144e-12
0,Fp1-F3,4.4929860671614725e-10,1.3501102252479638e-10,1.1066502860612836e-11,2.518347242474026e-12
0,F3-C3,1.6187922231456313e-10,3.176067768153618e-11,7.816186633401434e-12,1.0733755955161454e-12
0,C3-P3,2.107975686607783e-10,1.928707848781366e-11,3.653219277491577e-12,1.3137485089882226e-12
0,P3-O1,6.864794813077157e-10,6.774898016848102e-11,2.5413574358401544e-12,5.772948126379356e-13
0,Fp2-F8,5.683917221567462e-09,7.263206899620193e-10,2.809779309141228e-11,1.5371871149009665e-11
0,F8-T4,3.3074677707762703e-09,1.3355499998780194e-10,1.2152556215212252e-10,3.3049294129166945e-11
0,T4-T6,3.605722135836717e-10,1.0039305024444192e-10,1.3188606707412904e-10,5.038476699821075e-11
