label,channel,delta_power,theta_power,alpha_power,beta_power
0,Fp2-F4,2.913859319222722e-09,2.2581004034543315e-10,5.948646808690116e-11,2.7025503155100247e-11
0,F4-C4,4.1072839436440735e-09,1.4876324131850047e-09,9.977946964307402e-12,2.4431119719821067e-11
0,C4-P4,2.000415825734955e-10,5.819122573819243e-11,1.3163908593105169e-11,2.53673327497202e-11
0,P4-O2,1.8833795794389573e-09,3.881011399523877e-10,1.744914007219462e-11,1.6157898565758417e-11
0,Fp1-F3,4.279347019589708e-09,1.1642576523535697e-09,1.0593529702205047e-09,6.9229864658600046e-09
0,F3-C3,6.494286403290131e-12,1.291076769820796e-11,4.501598043449186e-12,7.767868909386119e-11
0,C3-P3,1.463803435017145e-11,1.9179005070441324e-11,9.096863724509674e-12,8.240751634014502e-11
0,P3-O1,3.6907035498840205e-11,1.8239780029563806e-11,1.6097957048335467e-11,3.616721676201533e-11
0,Fp2-F8,1.7975919954353543e-09,1.5583311939973148e-10,5.506889014952606e-11,1.876365357153997e-11
0,F8-T4,9.359001526940302e-10,1.0342711563127085e-10,4.244867694635258e-12,7.523694147555438e-12
0,T4-T6,2.0439546188629468e-10,7.675503710675182e-11,3.201192897094746e-11,1.3019340597886584e-11
0,T6-O2,2.0485147603652814e-10,1.6829575215219098e-11,6.4196437418138346e-12,1.3484021312704483e-12
0,Fp1-F7,4.184618658133055e-09,9.865474304773759e-10,9.57746221632585e-10,6.351751176160405e-09
0,F7-T3,5.6919012181228216e-11,2.295259702538191e-11,2.8823925610825686e-11,2.2255367393730184e-10
0,T3-T5,1.5443662709261958e-10,5.653647271105203e-11,3.713587110291683e-11,6.35120283775403e-10
0,T5-O1,8.113100995561094e-12,1.136658954069509e-11,1.7425136796166172e-11,3.41724711329709e-10
0,Fz-Cz,1.3351026526813357e-08,2.451003379995403e-09,3.122970217318425e-11,7.252807847094203e-11
0,Cz-Pz,2.804118343438425e-10,1.6732598762815935e-11,2.3307247608112324e-11,4.123869097889519e-12
0,Fp2-F4,2.454299677232385e-10,2.146134253324884e-11,8.201984796310886e-12,1.0708846876967855e-11
0,F4-C4,2.833948332769575e-10,7.013947525421363e-11,8.778770909802206e-12,1.0150444093939349e-11
0,C4-P4,6.450009638393128e-11,1.4096904697028703e-11,2.855405295289639e-11,8.17949048141315e-12
0,P4-O2,2.0344091956030743e-10,7.688167098451032e-11,2.7473264802938088e-11,1.949714864239727e-11
0,Fp1-F3,6.040107752936789e-10,5.144051692983151e-10,2.0011549742119097e-10,1.064922146786373e-08
0,F3-C3,3.1941186130909644e-11,4.198961718669839e-12,2.4010306890255896e-12,1.6463917605396304e-10
0,C3-P3,3.0673379250577126e-12,5.537386029010554e-12,6.6428942871332195e-12,1.282516317308089e-10
0,P3-O1,7.225928025580523e-11,2.610308510609555e-11,3.1149740678679173e-11,8.129356172328346e-11
0,Fp2-F8,1.9685514401820965e-10,4.068855812947112e-11,6.2103506616643736e-12,7.420030545005737e-12
0,F8-T4,7.414137663715114e-11,3.4912477603086386e-12,2.666407730345555e-12,4.84266824816232e-12
0,T4-T6,1.949925307364969e-11,2.944996670508167e-11,7.487334003179896e-12,7.057877121486941e-12
0,T6-O2,1.1553728054636378e-10,1.1199908147786382e-11,5.644566465221206e-12,5.2486998701638485e-12
0,Fp1-F7,5.518440523709727e-10,5.978915940257844e-10,1.7303846276792114e-10,1.0134151193147601e-08
0,F7-T3,1.3495591008579355e-11,2.9376078230684676e-11,1.1161022688937467e-11,4.533993564972197e-10
0,T3-T5,8.889613854557926e-11,4.743364147965677e-11,9.091876733258877e-11,1.2790224245530627e-09
0,T5-O1,1.3481354289359845e-11,8.568419745824037e-12,1.8343920196431613e-11,6.259646965613768e-10
0,Fz-Cz,1.5299426098103872e-10,4.1046240568751945e-11,1.481963952039883e-11,3.812117590055889e-12
0,Cz-Pz,2.7634403553256646e-11,2.381026588875152e-11,2.692906647619078e-12,1.1552590895901484e-12
0,Fp2-F4,3.988325766951651e-10,4.436230293003336e-11,2.6875091351556867e-11,1.4322804392392378e-11
0,F4-C4,8.477493636605614e-11,5.409008696676986e-11,1.687649613337186e-11,8.584993397246803e-12
0,C4-P4,2.0352747509905293e-10,2.6178099632049735e-11,2.3258668022065026e-11,1.2032156772890196e-11
0,P4-O2,3.24369957073855e-10,9.180280167316945e-11,4.6078162210278766e-12,1.2214048636168204e-11
0,Fp1-F3,1.0138502276184781e-09,6.074395846433336e-10,5.922722375406565e-10,6.612390066487156e-09
0,F3-C3,7.921240204619302e-12,4.644086716741149e-12,7.633458407121214e-12,8.854633848500308e-11
0,C3-P3,5.53227755662431e-12,4.8949248839521564e-12,3.795073176733262e-12,8.556632470853487e-11
0,P3-O1,6.717617807204011e-11,1.8474636372442862e-11,6.125900245930717e-12,5.289326814691892e-11
0,Fp2-F8,3.599850985110656e-10,3.69266280022034e-11,1.1115159300591793e-11,7.800991280949137e-12
0,F8-T4,1.1422068613182412e-10,1.7707217158996834e-11,1.2842566828770771e-11,4.2361106899308106e-12
0,T4-T6,5.339165995632105e-10,1.3160189075715011e-10,1.785909856422657e-11,2.1575783543763438e-11
0,T6-O2,5.297430696110666e-10,1.6208406907779834e-10,1.8214804898989045e-11,1.4190572853616469e-11
0,Fp1-F7,9.149546352572169e-10,5.215509380370663e-10,6.007907239604257e-10,6.190546293761078e-09
0,F7-T3,2.107645442577564e-11,8.181035956007467e-12,1.7575368208760887e-11,3.509207688402367e-10
0,T3-T5,1.503383477392664e-10,4.432753022354792e-11,3.428576065662614e-11,7.613383817834353e-10
0,T5-O1,9.298108677692351e-12,8.368776121632828e-12,2.2475393939588777e-11,3.713365300248472e-10
0,Fz-Cz,1.1511303617283378e-10,4.180955989563658e-11,8.793791467400716e-12,7.944542081942415e-12
0,Cz-Pz,1.903760102311085e-10,3.263776912406546e-11,9.190785480420325e-12,1.7154828559274905e-12
0,Fp2-F4,9.916907813497762e-10,1.700788072502729e-10,2.291022378306892e-11,3.319763045522094e-11
0,F4-C4,6.555299097531901e-10,3.553270548887633e-11,3.405397420169952e-11,2.2280352947420642e-11
0,C4-P4,1.5964417762145976e-10,3.4339333115594546e-11,1.1652025782008637e-11,8.248473951773233e-12
0,P4-O2,5.825872287100641e-11,1.5187554067397566e-11,3.6241720559803695e-12,7.53431473355428e-12
0,Fp1-F3,2.9282863836261824e-09,9.76374534794828e-10,1.9691917274176054e-09,1.0484788146700384e-08
0,F3-C3,2.2524359277287304e-12,6.5709851811112464e-12,1.87090899317188e-12,1.022615126227857e-10
0,C3-P3,7.64068429608059e-12,6.690144523314278e-12,4.4348993506061695e-12,1.5329009370161704e-10
0,P3-O1,4.864270889098554e-11,4.257947838986204e-11,5.401098152252378e-12,1.1593857720009821e-10
0,Fp2-F8,7.173240200035774e-10,6.015277250339286e-11,1.4442467565938906e-11,3.2476646969686936e-11
0,F8-T4,1.4882016289130615e-10,1.9685759850725136e-11,3.0268795881808216e-12,8.668053950674435e-12
0,T4-T6,1.1557118569791884e-10,5.3730906051436615e-12,1.1973211746794258e-12,2.5139120569645188e-12
0,T6-O2,6.047977957363037e-11,1.3766342723386792e-11,9.077809441729163e-13,9.456901554638723e-13
0,Fp1-F7,2.982095441134825e-09,1.0391860841010605e-09,1.951681139299579e-09,9.652043632843863e-09
0,F7-T3,3.25885689646266e-11,6.273901055167338e-11,3.056308220226181e-11,4.711004669063067e-10
0,T3-T5,1.0034680889734591e-10,5.0308593435457886e-11,8.800094337232667e-11,1.1022814456841009e-09
0,T5-O1,3.6027499592910146e-11,4.839160019627686e-12,2.939113716890724e-11,5.770900946688139e-10
0,Fz-Cz,3.210176860950153e-10,2.4469143504244145e-11,3.200768881286009e-11,1.9587069775254778e-11
0,Cz-Pz,2.041662361807824e-11,2.100718897308214e-12,1.23926842311718e-12,2.040935846768786e-12
0,Fp2-F4,2.555012462602351e-10,2.8861647764898215e-11,4.101302929116095e-12,3.5932613180837574e-11
0,F4-C4,4.191159414760332e-10,3.9875448152497814e-11,9.311382897320978e-12,3.5395556973758725e-11
0,C4-P4,8.388960647654992e-11,3.0994261971157037e-12,1.2222439899026666e-11,3.4506414266735255e-11
0,P4-O2,3.0304277976954485e-11,2.0126111165286435e-11,8.604866329444949e-12,3.749010284835918e-12
0,Fp1-F3,5.662297181254239e-08,4.1900139081674665e-09,2.4271933761255538e-09,9.960981009383793e-09
0,F3-C3,4.236351954776893e-11,1.693832552005526e-11,1.5629941510525457e-11,1.239120634138412e-10
0,C3-P3,2.7911214731384244e-11,9.869084053680584e-12,2.0790114263701132e-11,1.1604711435668287e-10
0,P3-O1,1.2629103003399195e-11,1.4910477791753728e-11,6.988497759458926e-11,8.751658724329376e-11
0,Fp2-F8,9.826747646798051e-11,9.320863781056841e-12,6.648363315868799e-12,1.2922739045534078e-11
0,F8-T4,9.786820854922349e-11,1.2921393043150294e-11,9.612693953811594e-13,2.9205084520749e-12
0,T4-T6,1.411910657840598e-10,1.8823488878138954e-11,3.846111079189656e-12,7.428514762992073e-12
0,T6-O2,8.522358843068469e-11,4.701390062817783e-11,2.352206257048597e-12,1.5699978110576918e-11
0,Fp1-F7,5.5913566524236004e-08,4.12514463569224e-09,2.3928063031666544e-09,9.412905668428592e-09
0,F7-T3,1.0332650896846229e-10,7.562825416566555e-11,4.71510729345733e-11,4.761051625671974e-10
0,T3-T5,1.6835547632223754e-10,9.696042318460241e-11,2.0641542518405843e-10,1.0804598237071227e-09
0,T5-O1,4.055137585955046e-11,3.4160253526182977e-11,3.7792176135924375e-11,4.515671897522378e-10
0,Fz-Cz,3.45207666242567e-10,2.646678714613881e-11,1.0095112692553843e-11,8.12437593039118e-12
0,Cz-Pz,1.0405536981419691e-10,6.491837395863658e-12,3.1494342481504765e-12,1.5998806480897643e-12
0,Fp2-F4,1.0423667960910367e-10,1.621312949964964e-11,2.1121390017646488e-11,1.3679558711335102e-11
0,F4-C4,2.1692475719317956e-11,1.702440295855087e-11,6.690498454202031e-12,3.5795960130723354e-12
0,C4-P4,2.8482174232374576e-10,2.8742542718519514e-11,2.232696484511946e-11,3.953658420056254e-12
0,P4-O2,8.138478635476438e-11,6.069682262256622e-12,1.540191215325465e-11,9.017860792750052e-12
0,Fp1-F3,1.8066768330676095e-08,4.9232218501014265e-09,1.6337925914324307e-09,4.348460139927185e-09
0,F3-C3,1.2926408940502293e-11,1.3230318217046711e-11,5.820194395370693e-12,5.956045020356386e-11
0,C3-P3,3.01440350938157e-11,1.3578505142532215e-11,1.182684653594217e-11,4.6445643336346924e-11
0,P3-O1,2.219166820141427e-11,1.9969700222787086e-11,1.4707512407867323e-11,4.014350900514225e-11
