label,channel,delta_power,theta_power,alpha_power,beta_power
0,Fp2-F4,8.987450446128428e-11,1.4414056764783698e-11,3.631857911602122e-12,3.4115606673564756e-12
0,F4-C4,7.335112591790083e-11,4.954367287680995e-12,2.6264139722362217e-12,3.2187243689212693e-12
0,C4-P4,1.1639698946649187e-11,6.330142071997834e-13,1.7348758303448326e-13,4.3110239327477143e-13
0,P4-O2,1.3807849721887404e-11,2.610424450298814e-12,4.682843514353274e-13,3.4242376803262244e-13
0,Fp1-F3,1.5728637070577127e-10,2.5661563037389264e-11,6.953953216841175e-12,2.697796358731023e-12
0,F3-C3,1.67168110095592e-10,1.1584724876074425e-11,6.10384531863372e-12,6.838362673635801e-12
0,C3-P3,1.2728056362345986e-11,3.712801549557077e-12,1.3854678636022046e-11,5.506619678559779e-12
0,P3-O1,3.03952211631316e-11,1.2881035185952652e-11,3.936818693739239e-12,9.330103183956764e-13
0,Fp2-F8,8.441236893744655e-11,2.957817855432008e-11,4.7365789443191285e-12,4.008505326786635e-12
0,F8-T4,8.037642211798097e-11,1.1639784841798695e-12,1.2766699784402095e-12,2.5712053611544413e-12
0,T4-T6,1.8412498659541112e-11,3.3026798301150875e-12,3.2907504855866506e-13,9.206770961466773e-13
0,T6-O2,1.0293834100867542e-11,4.824865531473161e-13,7.080588470652151e-13,3.5078034098937214e-13
0,Fp1-F7,3.794551574850155e-10,6.370594357011845e-11,1.2211002813242085e-11,7.494625974963172e-12
0,F7-T3,2.6822522950844288e-11,1.3971055719653592e-11,1.853496046636644e-12,1.3722982880959846e-12
0,T3-T5,6.362138011056129e-11,2.2197287941451647e-12,3.3179603763343416e-12,2.3199224079351402e-12
0,T5-O1,3.7402809008595616e-11,1.378884915531702e-11,3.022842111632622e-12,7.950871737517225e-13
0,Fz-Cz,1.6647808865609933e-10,1.3928488393165036e-11,3.181935898321646e-12,3.255850221749422e-12
0,Cz-Pz,1.062635615697064e-11,3.9132123841321085e-12,1.592838810896223e-12,5.077249648495659e-13
0,Fp2-F4,2.147671782650567e-11,5.879722607075884e-12,1.2037805001952048e-12,2.2586376014779447e-12
0,F4-C4,1.9121446503469965e-10,1.0800635115577128e-11,1.8599413838435194e-12,3.066977398504625e-12
