label,channel,delta_power,theta_power,alpha_power,beta_power
0,Fp2-F4,6.317226434086922e-11,5.861761202569373e-13,5.1003367823807396e-14,3.9851173777336575e-13
0,F4-C4,1.7104419407263957e-11,3.231519017938162e-13,2.308494333893358e-13,3.740943298533793e-13
0,C4-P4,9.161593332383206e-12,5.108247141630921e-13,8.862927096205808e-14,2.0054269445404194e-13
0,P4-O2,1.0228802993575673e-11,2.8973799775312006e-13,3.1767835121604106e-14,3.214908682998546e-13
0,Fp1-F3,7.181088751015453e-11,3.001950355897803e-13,7.260864904191618e-14,3.500339689574807e-13
0,F3-C3,1.5919665178073355e-12,2.0132347145221408e-13,7.772330206373802e-14,1.9329254620986634e-13
0,C3-P3,3.658992753488316e-12,4.318519537265084e-14,2.185116541773501e-14,5.560477670708739e-14
0,P3-O1,1.004169635171836e-11,3.41810767605036e-13,1.1277438523828377e-13,4.4812910500188883e-13
0,Fp2-F8,7.283721662397563e-11,1.208057751955989e-12,7.384971383731333e-13,1.3263418330280876e-12
0,F8-T4,1.8146535834966527e-11,2.8390674721050735e-12,3.2427209904172506e-12,2.8864249945860427e-11
0,T4-T6,3.6512599837460496e-11,3.709335113598746e-12,1.4242454260830635e-12,2.7723311266350093e-11
0,T6-O2,7.379257856923284e-11,1.3760171216519425e-13,3.126954997431839e-13,2.4776332288088974e-12
0,Fp1-F7,1.0442370393579909e-10,3.1328745891852476e-13,3.306206974075051e-13,1.882305855855399e-12
0,F7-T3,1.6400075802984152e-11,1.1660906674124648e-11,4.726765654357672e-12,3.496947393043478e-11
0,T3-T5,5.978639010907009e-11,8.692378530995315e-12,3.485864643824804e-12,2.372535713891434e-11
0,T5-O1,5.581715752281807e-11,1.504883558986216e-12,2.1132976072908556e-13,4.4732659578093674e-13
0,Fz-Cz,3.476351156865445e-12,2.4397034082330137e-13,2.3372914267019854e-14,1.2225628769302876e-13
0,Cz-Pz,5.564486827508361e-12,4.1958114519402066e-14,2.2462877880331652e-14,9.739662053834647e-14
0,Fp2-F4,6.423624801876077e-12,1.5084424457185424e-12,3.8308735524038237e-13,1.0565419092531529e-12
0,F4-C4,1.275694068851262e-12,4.984706604577446e-12,6.92957107989426e-13,1.4452225161477813e-12
0,C4-P4,8.271919899807372e-13,1.7265496997463346e-12,7.807901814859766e-13,4.5699496236635e-13
0,P4-O2,3.1921300839215776e-12,2.2199222210918937e-12,1.260309101737042e-13,4.600841677907147e-13
0,Fp1-F3,3.1475575877554344e-11,4.652330053637273e-13,6.84869629868178e-14,2.820186788154643e-13
0,F3-C3,2.4946685964005764e-12,3.459813588834819e-13,2.8273881009717475e-13,3.2702133510450753e-13
0,C3-P3,3.158440863735854e-13,4.4186789091732717e-13,1.9555434312663506e-13,6.340398606380386e-13
0,P3-O1,9.595720734162764e-12,4.3288185044340004e-13,1.0886598209490488e-13,1.5330707254527742e-12
0,Fp2-F8,6.756587280882019e-12,3.4988855037917762e-12,1.0031286507713964e-12,9.525616187707145e-13
0,F8-T4,4.1380172858651306e-11,2.38352212507562e-12,9.195874894892025e-12,2.6886930632093437e-11
0,T4-T6,2.2166894162107903e-11,3.8775707512048205e-12,1.9719338738424155e-12,1.8963984563300663e-11
0,T6-O2,1.2321312576930879e-11,2.292331295039558e-12,1.6169458916330125e-12,4.4457955119859086e-12
0,Fp1-F7,3.77684472389624e-11,2.0885922729277144e-12,4.2858987922702866e-13,2.2369749834666124e-12
0,F7-T3,8.120331966480717e-12,1.4239940694923207e-11,3.89717142230497e-12,1.4999276527131323e-11
0,T3-T5,4.287086926988462e-11,3.7030494942194094e-11,7.166918157168411e-12,1.19376079900592e-11
0,T5-O1,2.78443154525177e-11,8.265931635604632e-13,1.323703504543718e-13,1.4206765829599075e-12
0,Fz-Cz,8.40312659032232e-12,9.365734773868629e-13,5.341456665272233e-13,4.3194248964980485e-13
0,Cz-Pz,8.481253251442077e-12,7.391722744084632e-13,8.828861974321116e-14,5.93353064904792e-13
0,Fp2-F4,1.8656029032635148e-12,6.585146564444226e-13,2.9419159507669945e-13,4.4738775428397565e-13
0,F4-C4,1.767808848864227e-12,2.98690988211397e-13,1.1142653884790668e-13,3.693367981197826e-13
0,C4-P4,2.0153597328040535e-12,1.9510488328284781e-13,1.1166303825580796e-13,1.3549215551667962e-13
0,P4-O2,5.288225001176064e-13,5.557734439945014e-13,2.9557332111674415e-14,4.758811068662831e-13
0,Fp1-F3,1.2097453093872709e-11,1.089470645369062e-12,4.458252813187235e-13,5.622198264990639e-13
0,F3-C3,3.788938310239239e-12,5.26161325868774e-13,2.94200510181558e-13,1.4846342139464738e-13
0,C3-P3,2.894776841007853e-12,2.6094607418822817e-13,4.780530889125253e-14,7.95553671365575e-14
0,P3-O1,1.6689490284247924e-11,1.2526336457224348e-12,1.5460373110696069e-13,1.1438832415512827e-12
0,Fp2-F8,2.3300701037612145e-11,3.1359625844489304e-12,6.559959548123638e-14,9.079827041295953e-13
0,F8-T4,2.5524977827123928e-11,1.0106976719769876e-11,2.8670199704268302e-12,3.6433598366660014e-11
0,T4-T6,9.163964069240857e-12,8.676097131320313e-12,2.1107227209042512e-12,2.6150413052564214e-11
0,T6-O2,1.1653089491005016e-11,3.556069966254304e-13,3.7312163838156796e-13,3.1806483429877674e-12
0,Fp1-F7,4.605682288158849e-11,1.928961659842144e-12,1.199132931804886e-12,2.430016906684563e-12
0,F7-T3,1.460047938261338e-11,4.766582733854777e-12,3.7826481359648945e-12,3.894603272368048e-11
0,T3-T5,6.374197941033995e-11,5.73766675049461e-12,4.845984532693035e-12,2.974918737677442e-11
