label,channel,delta_power,theta_power,alpha_power,beta_power
0,Fp2-F4,3.884871815739483e-12,1.3325411672515924e-12,1.288034799657528e-13,7.953005266928673e-13
0,F4-C4,9.605815600536775e-12,1.8236162301937148e-13,2.605428874694282e-13,2.55610542641336e-13
0,C4-P4,1.3832478256785127e-11,3.0715183039554177e-13,1.5065738105867736e-13,5.855779897543201e-13
0,P4-O2,8.132962779808872e-12,7.304821356829347e-13,5.558206939427619e-13,4.916355275033714e-13
0,Fp1-F3,1.8403387401445814e-13,4.4118788886643755e-13,9.83409256272903e-13,1.732639801594056e-11
0,F3-C3,5.442688278309725e-12,2.1548327712831084e-12,2.773875069337036e-13,7.686566880165434e-13
0,C3-P3,2.835415509105869e-11,1.6729719339578466e-12,4.237916496109746e-13,4.0746551161389354e-13
0,P3-O1,2.3949599198093106e-11,2.854055641885938e-12,6.940579222994335e-13,1.5768982854990956e-12
0,Fp2-F8,1.1649774396938875e-11,1.056237321365994e-12,1.9977967127586233e-13,9.796799681305777e-13
0,F8-T4,9.231030118642417e-13,1.445379098759317e-12,1.3873468298897505e-12,5.8320206006065495e-12
0,T4-T6,1.8341825874814744e-11,1.7076853994827253e-12,1.0541539593087156e-12,4.963691525214594e-12
0,T6-O2,2.664783362999201e-12,3.8815471253113333e-13,8.398830827196306e-13,1.261371629340043e-12
0,Fp1-F7,2.2449320547030196e-11,1.9386603404377456e-12,2.5106132338495286e-12,2.7349676919016613e-11
0,F7-T3,6.382435165662983e-12,4.799200744074672e-12,2.266458876093554e-12,2.7130990401397332e-11
0,T3-T5,1.9116223355792478e-11,4.11505218207432e-12,1.9379324565078045e-12,2.5920960813779205e-11
0,T5-O1,2.622575152977737e-12,5.309640286571998e-12,1.0546771167575988e-12,2.169927521728489e-12
0,Fz-Cz,1.5383130122762072e-11,9.160018552558987e-13,1.779444655836936e-13,3.174686056735668e-13
0,Cz-Pz,1.5294800862539495e-12,2.925469637610955e-13,1.6373795310564072e-13,2.7372081217594097e-13
0,Fp2-F4,1.3418430004983024e-11,1.7106853918623187e-12,1.2307513418098276e-12,5.4610856471060905e-12
0,F4-C4,1.3091289885132243e-12,1.4461038678638047e-12,2.0074189083882333e-13,5.729658551840044e-13
0,C4-P4,1.1352940695355904e-11,8.146793518209427e-12,7.092245285017699e-13,8.439277524861036e-13
0,P4-O2,8.138181077628142e-12,6.243249304954308e-13,3.3131488758028986e-13,1.1314075531887363e-12
0,Fp1-F3,1.0183194827989278e-11,6.61914704639962e-12,3.904820384394863e-12,1.8417729898906323e-11
0,F3-C3,2.9547916080661846e-12,5.034447973104051e-13,2.879932206588492e-13,2.211260223333333e-12
0,C3-P3,9.914287420166494e-11,8.806420914500057e-13,5.066799952255973e-13,2.5589301060085476e-13
0,P3-O1,1.1203922691976418e-11,3.822289739748959e-12,8.187211571282447e-13,1.8541924242072936e-12
0,Fp2-F8,4.093278260954337e-12,2.0395721720479035e-12,1.1324704673106253e-12,4.522426800863396e-12
0,F8-T4,5.359613962506581e-12,1.9406102363879024e-12,6.917464604730031e-13,5.93452018359026e-12
0,T4-T6,1.269446897634041e-11,2.124883516577962e-12,4.3723858106519153e-13,3.1119406060524075e-12
0,T6-O2,7.966518526130469e-12,1.1238778879278219e-12,4.944116064141866e-13,1.0159421748883981e-12
0,Fp1-F7,5.414930784949669e-12,2.7846129287521436e-12,3.7368611968384605e-12,1.3050146800690896e-11
0,F7-T3,1.02226613206183e-11,6.622007227263288e-13,3.2273479695282275e-13,1.0396591260588244e-11
0,T3-T5,5.917294911630558e-11,1.155060418875153e-12,1.981717760663679e-12,7.607177540039483e-12
0,T5-O1,8.342400780219693e-12,5.743717643263767e-12,6.480558542092889e-13,2.421768729641847e-12
0,Fz-Cz,1.0412813583483167e-12,6.172539112163702e-13,5.949750426949944e-14,3.288353889059388e-13
0,Cz-Pz,8.621157481140768e-11,5.053798381702635e-13,2.173028930542323e-13,2.6765250737774036e-13
0,Fp2-F4,4.5516891249349864e-11,6.284848444677823e-13,5.647854399709024e-13,1.4980975841804706e-12
0,F4-C4,3.806292964980541e-11,1.6922633461466223e-12,2.9395370096757694e-13,3.2069515163796666e-13
0,C4-P4,1.942352056081027e-11,5.428139432087937e-12,2.231842390626321e-13,4.050414836294406e-13
0,P4-O2,7.875094091014828e-12,2.5270558721312867e-12,3.1408975858908526e-13,1.1334820377463537e-12
0,Fp1-F3,1.2556893013375334e-11,9.034260926017575e-13,6.248658137881396e-13,1.6672063314157905e-11
0,F3-C3,6.828286273306452e-12,1.5863584810848337e-12,2.3902535688996545e-13,1.505877831919006e-12
0,C3-P3,1.416177947020159e-10,1.743140325885039e-12,9.469709794582542e-14,2.0148502165583315e-13
