label,channel,delta_power,theta_power,alpha_power,beta_power
0,Fp2-F4,1.0206359477574402e-11,3.035227429892921e-11,8.103553125700564e-12,1.0706065859166342e-10
0,F4-C4,4.600602618320433e-12,3.396837853427177e-12,1.7095508708751353e-12,1.2977921561008148e-12
0,C4-P4,4.09938101362352e-11,6.795756918438662e-12,2.1618605499384083e-12,1.1237446014958066e-11
0,P4-O2,7.105154968918394e-11,2.612178891298874e-11,7.168983974206687e-12,2.485571117556739e-11
0,Fp1-F3,3.669525110680051e-11,1.0400407689970777e-10,2.0298808316969714e-11,4.231496526587049e-10
0,F3-C3,3.264103512294918e-11,8.55401460531291e-12,2.3359231430380968e-12,3.559201045062376e-12
0,C3-P3,3.627973604713344e-12,1.0455625420183732e-11,1.5442568697085116e-12,8.160263013308694e-12
0,P3-O1,4.616021042915546e-11,4.1180079000357065e-11,1.3305912070295422e-11,1.5657410581225613e-11
0,Fp2-F8,4.678357863105675e-11,3.177122683386862e-11,9.13343200439974e-12,1.0720032124094264e-10
0,F8-T4,1.3520750265642571e-11,1.2083333966272703e-12,7.887925743103629e-13,9.396745637852885e-12
0,T4-T6,6.026871281130748e-11,1.0024008654574545e-11,4.420507249055743e-12,1.2882918890138319e-11
0,T6-O2,8.267069814909607e-11,3.3122804025724135e-11,4.448731315812174e-12,1.4087373084031327e-11
0,Fp1-F7,1.4228415281292068e-11,6.631225714745526e-11,1.611062891462632e-11,3.606474432044379e-10
0,F7-T3,4.187797516954098e-11,4.223799522620094e-12,3.918894236472983e-13,9.147026000870336e-12
0,T3-T5,2.153887129083701e-10,2.189477301797202e-11,3.309517689124747e-12,4.792294325807925e-11
0,T5-O1,2.4329908626415654e-10,9.48141197899276e-11,1.749704771507979e-11,5.6995808376599947e-11
0,Fz-Cz,1.742818841782678e-11,2.272341983542792e-12,3.158291178949187e-12,1.1783052802378894e-11
0,Cz-Pz,1.9303180462776625e-11,5.9469450223009494e-12,1.0901219397919871e-12,8.408342972892547e-13
0,Fp2-F4,7.239189200377284e-12,3.976393114254419e-12,4.324917622107075e-12,1.2251688497105368e-10
0,F4-C4,1.6166773963465926e-11,3.3405218475371617e-12,1.825892283682854e-12,3.7381951585424985e-12
0,C4-P4,2.7219125979293004e-11,2.1101449260948658e-12,2.6604814818876725e-12,4.783753566845671e-11
0,P4-O2,3.194167335812679e-12,1.7009405563770879e-12,3.0136474923399407e-12,5.754683887481611e-11
0,Fp1-F3,1.1107530370526804e-11,1.532416134083001e-11,1.4442917110482457e-11,5.758577535819331e-10
0,F3-C3,1.2905988206802218e-11,6.3396983086284595e-12,3.417045210876483e-12,6.411735550150949e-12
0,C3-P3,4.3269434184467796e-11,1.664288263456588e-12,1.403415414437894e-12,1.1707322548941822e-12
0,P3-O1,1.0136819518055413e-11,6.4185964515354844e-12,1.3073599775739547e-11,6.619811408111883e-12
0,Fp2-F8,1.245360930803547e-12,3.4803211966394085e-12,7.875043315424242e-12,1.2496979978034048e-10
0,F8-T4,1.2618961877987082e-11,1.7017494984471762e-12,1.2294759327414872e-13,1.0449777168805178e-11
0,T4-T6,1.1229153627973946e-10,9.831473627430891e-13,1.0508320148530722e-12,3.024997384733006e-11
0,T6-O2,5.854351055394498e-11,1.1561287951225339e-11,4.19736789536093e-12,1.809097875260747e-11
0,Fp1-F7,4.707686651201408e-12,1.7084758143329382e-11,1.6090919557351298e-11,4.935654997642932e-10
