label,channel,a4_energy,a4_wiener_entropy,a4_skewness,a4_kurtosis,a4_psd_rms,a4_std,d4_energy,d4_wiener_entropy,d4_skewness,d4_kurtosis,d4_psd_rms,d4_std,d3_energy,d3_wiener_entropy,d3_skewness,d3_kurtosis,d3_psd_rms,d3_std,d2_energy,d2_wiener_entropy,d2_skewness,d2_kurtosis,d2_psd_rms,d2_std,d1_energy,d1_wiener_entropy,d1_skewness,d1_kurtosis,d1_psd_rms,d1_std
0,Fp2-F4,6.76206e-10,0.528577,-0.344985,-0.506818,5.54406e-06,2.90178e-06,1.84661e-11,0,-0.351584,-1.6884,9.1617e-07,8.66809e-07,3.29682e-11,0,-0.0660333,-1.04693,9.31442e-07,9.22217e-07,9.19558e-11,1.42413,0.200651,-0.259595,1.15442e-06,1.14595e-06,5.59355e-11,0,0.032413,-2.51592,6.53444e-07,6.52461e-07
0,F4-C4,2.84891e-09,0.72264,-0.42125,-0.436245,1.13796e-05,4.29271e-06,1.49488e-11,0,-0.0694284,-2.08893,8.24312e-07,7.96169e-07,2.23374e-11,0,0.305343,-1.97984,7.66698e-07,7.65559e-07,2.09497e-11,0,-0.00791954,-2.75351,5.51016e-07,5.49432e-07,2.5421e-11,0,-0.0233282,-2.88677,4.40515e-07,4.40261e-07
0,C4-P4,1.17254e-07,0.984632,-0.18368,-0.912159,7.30051e-05,6.41489e-06,3.56281e-11,1.16038,-0.175335,0.863915,1.27258e-06,1.27059e-06,4.47218e-11,1.45375,1.09521,2.60625,1.08484e-06,1.07193e-06,8.96112e-10,0.668053,-0.356814,-0.167037,3.60377e-06,3.59279e-06,1.8075e-10,1.46419,-0.233258,-0.804274,1.17464e-06,1.17294e-06
0,P4-O2,3.63824e-07,0.986118,-0.42197,0.204285,0.000128598,1.07815e-05,2.27074e-09,0.26655,-0.17003,0.327604,1.01595e-05,9.55343e-06,4.43121e-09,0.196376,0.466403,1.30279,1.07986e-05,1.07754e-05,4.96089e-09,0.267999,0.138168,0.120307,8.4792e-06,8.4742e-06,3.33705e-09,0.254106,0.462818,2.46511,5.04714e-06,5.04351e-06
0,Fp1-F3,7.98452e-09,0.803547,-0.396246,-1.0138,1.90508e-05,5.78502e-06,2.14756e-11,0,-0.0928322,-1.20241,9.88009e-07,9.59482e-07,3.48678e-11,0,0.118863,-1.13828,9.57901e-07,9.49331e-07,1.30928e-10,1.1113,-0.410141,0.669206,1.3775e-06,1.37607e-06,6.64215e-11,0,0.0597851,-2.31965,7.12064e-07,7.12055e-07
0,F3-C3,6.96403e-09,0.960987,0.0752394,0.0754656,1.77918e-05,2.56676e-06,1.43887e-11,0,-0.366207,-1.77754,8.08723e-07,7.99706e-07,3.60091e-11,0,-0.263674,-0.408234,9.73452e-07,9.70545e-07,4.77199e-11,0,-0.0680597,-1.82687,8.31621e-07,8.31487e-07,3.81624e-11,0,0.00542366,-2.78702,5.39737e-07,5.39098e-07
0,C3-P3,4.24595e-09,0.976437,-0.425207,0.139696,1.38924e-05,1.67839e-06,2.25058e-11,1.54402,0.633978,1.7822,1.01143e-06,1.00661e-06,2.45516e-11,0,0.152407,-1.99551,8.038e-07,7.95921e-07,6.16598e-11,0,0.093804,-0.795064,9.45315e-07,9.43622e-07,3.24599e-11,0,0.00535252,-2.80312,4.97781e-07,4.95468e-07
0,P3-O1,4.07498e-08,0.982716,0.148957,-1.14145,4.30379e-05,4.06984e-06,4.29431e-11,1.13426,-0.012991,-0.300816,1.39712e-06,1.34656e-06,8.98533e-11,0.950105,0.103394,0.265942,1.53771e-06,1.53525e-06,6.4997e-10,0.664833,0.125437,-0.776959,3.06918e-06,3.06905e-06,1.41924e-10,1.67506,-0.0838947,-0.758719,1.04086e-06,1.0408e-06
0,Fp2-F8,7.38412e-08,0.990761,-0.19038,1.49896,5.79346e-05,4.00201e-06,5.31136e-11,0.946751,0.905389,1.32983,1.55379e-06,1.54269e-06,1.54167e-10,0.613213,-1.33249,5.54935,2.01421e-06,2.00799e-06,2.1044e-10,0.862823,0.940559,1.94951,1.74638e-06,1.74634e-06,7.94776e-11,0,0.247404,-1.3573,7.78909e-07,7.74841e-07
0,F8-T4,1.81484e-07,0.990893,-0.676094,-0.799505,9.08255e-05,6.11918e-06,1.16097e-10,0.646666,-0.451249,0.194495,2.2972e-06,2.27249e-06,3.07319e-10,0.641623,0.170942,-0.302065,2.84383e-06,2.84382e-06,4.85812e-10,0.629109,-0.192724,0.396515,2.65344e-06,2.649e-06,1.2434e-10,0,-0.934023,2.21034,9.74247e-07,9.73078e-07
0,T4-T6,4.45578e-07,0.987345,1.39892,2.86572,0.000142315,1.10924e-05,8.40085e-10,0.483068,-0.0878732,-0.435697,6.17945e-06,6.14371e-06,1.59741e-09,0.369552,0.121701,-0.549197,6.48361e-06,6.48162e-06,5.24691e-09,0.32829,-0.158986,0.871518,8.72022e-06,8.67128e-06,2.41812e-09,0.40074,0.119364,0.336385,4.29638e-06,4.29622e-06
0,T6-O2,3.88918e-08,0.885359,-2.51208,7.10305,4.20453e-05,1.71838e-05,3.55488e-09,0.33875,-0.28948,-0.333054,1.27116e-05,1.19684e-05,6.80019e-09,0.36631,0.0276705,-0.203247,1.33773e-05,1.33421e-05,1.07851e-08,0.284371,0.021822,0.161963,1.25022e-05,1.24177e-05,5.30026e-09,0.291137,0.169147,1.0845,6.36082e-06,6.35988e-06
0,Fp1-F7,9.21458e-08,0.964703,0.223854,-1.23753,6.47182e-05,8.65767e-06,7.55297e-11,0.926554,-0.0606866,-0.28681,1.85288e-06,1.78852e-06,9.34907e-11,0.962911,-0.829312,1.72537,1.56853e-06,1.55192e-06,2.25963e-10,0.765635,-1.33133,4.58069,1.80965e-06,1.78388e-06,9.57864e-11,0,-0.11275,-1.48704,8.55099e-07,8.54959e-07
0,F7-T3,4.15861e-07,0.991211,0.0960531,-0.602815,0.000137487,9.12526e-06,4.21247e-10,0.392779,-0.17601,-0.14306,4.3758e-06,4.11835e-06,1.39149e-09,0.243519,-1.99608,7.41958,6.0513e-06,6.04846e-06,1.37682e-09,0.301499,0.607188,2.45966,4.46698e-06,4.46698e-06,1.67811e-09,0.267972,-0.418111,4.52395,3.57911e-06,3.57902e-06
0,T3-T5,1.93602e-07,0.987186,-0.273987,-1.25728,9.38089e-05,7.51037e-06,1.12439e-09,0.177779,0.656531,3.29781,7.14904e-06,7.04978e-06,2.61663e-09,0.433404,0.818694,0.124713,8.29811e-06,8.29422e-06,4.07675e-09,0.250616,0.168898,1.47026,7.68657e-06,7.68508e-06,3.31097e-09,0.341949,0.261224,0.449239,5.02739e-06,5.02681e-06
0,T5-O1,2.23593e-09,0.727955,-0.671545,1.16721,1.00813e-05,4.2537e-06,6.15254e-10,0.282086,0.192756,1.09309,5.2883e-06,5.27936e-06,9.94767e-10,0.471213,-0.293727,-0.722369,5.11645e-06,5.11179e-06,3.26372e-09,0.28386,0.722568,2.29603,6.87752e-06,6.8702e-06,1.96863e-09,0.359709,-0.209481,1.1779,3.87656e-06,3.87357e-06
0,Fz-Cz,1.34985e-08,0.942066,0.677166,-0.650719,2.47703e-05,4.34695e-06,2.17615e-11,0,0.396612,-0.135368,9.94565e-07,9.876e-07,3.65255e-11,0,-0.210587,-0.0487627,9.80407e-07,9.78677e-07,8.18963e-11,1.55332,-0.0492505,-0.322074,1.08945e-06,1.08904e-06,4.56899e-11,0,-0.0612451,-2.68362,5.90574e-07,5.90003e-07
0,Cz-Pz,5.20631e-09,0.980515,0.792139,0.0511196,1.53835e-05,1.69876e-06,1.05698e-11,0,-0.0696284,-2.31947,6.9314e-07,6.75841e-07,1.80401e-11,0,-0.0524285,-2.54459,6.89014e-07,6.86663e-07,2.58075e-11,0,-0.0741006,-2.53094,6.11573e-07,6.11474e-07,2.85234e-11,0,-0.0213822,-2.85933,4.66622e-07,4.64781e-07
0,Fp2-F4,4.91228e-10,0.406617,-0.606829,-0.993687,4.72531e-06,4.46508e-06,3.10415e-11,1.18878,1.34932,1.2241,1.18785e-06,1.1008e-06,4.71135e-11,1.43168,-0.252026,0.78185,1.11348e-06,1.10119e-06,9.53376e-11,1.4234,-0.405562,-0.180526,1.17546e-06,1.17543e-06,5.63343e-11,0,0.00448874,-2.48522,6.55769e-07,6.55768e-07
0,F4-C4,4.12728e-10,0.57646,0.840733,-0.63692,4.33133e-06,4.31527e-06,1.17273e-11,0,-0.429664,-1.923,7.30108e-07,7.28723e-07,3.65392e-11,0,-0.0266023,-0.313252,9.8059e-07,9.73812e-07,3.39363e-11,0,-0.111233,-2.34815,7.01306e-07,6.9716e-07,2.1047e-11,0,0.00619133,-2.91144,4.0083e-07,4.00818e-07
0,C4-P4,6.34213e-08,0.916862,-0.445005,-1.0203,5.36916e-05,1.07398e-05,2.10541e-11,0,-0.421258,-0.503885,9.78267e-07,9.73522e-07,4.47208e-11,1.6297,-0.206669,-0.912084,1.08483e-06,1.07853e-06,7.73056e-10,0.734448,0.103466,-1.40559,3.34719e-06,3.34604e-06,1.80518e-10,1.49025,-0.305025,-0.975457,1.17388e-06,1.17388e-06
0,P4-O2,3.01212e-07,0.950108,2.05143,5.02614,0.000117011,1.71233e-05,4.41392e-09,0.253018,0.103402,1.40757,1.41645e-05,1.41275e-05,1.2342e-08,0.349428,0.0250596,-0.631927,1.80219e-05,1.74457e-05,8.66265e-09,0.298813,-0.316626,0.378484,1.12047e-05,1.11658e-05,5.90255e-09,0.302319,-0.0747283,1.71243,6.7125e-06,6.7118e-06
0,Fp1-F3,5.90387e-09,0.63917,-0.394372,-1.30013,1.63816e-05,6.60119e-06,2.27809e-11,1.69293,0.102768,-0.587349,1.01759e-06,1.01709e-06,3.18495e-11,0,0.558236,0.0798048,9.15503e-07,8.92883e-07,9.66993e-11,1.38445,0.231497,0.399784,1.18382e-06,1.1838e-06,6.21711e-11,0,-0.0794964,-2.39086,6.88904e-07,6.88801e-07
0,F3-C3,3.05133e-09,0.895596,0.501069,-1.05559,1.1777e-05,2.71889e-06,1.14749e-11,0,-0.0293854,-2.48059,7.2221e-07,7.00555e-07,4.82176e-11,1.3484,-0.774515,1.56668,1.12645e-06,1.12637e-06,5.10498e-11,0,0.0859832,-1.86614,8.60146e-07,8.56539e-07,4.2434e-11,0,-0.0359401,-2.62753,5.69143e-07,5.69129e-07
0,C3-P3,6.98893e-09,0.979462,-0.263995,-1.13438,1.78235e-05,1.94963e-06,2.5862e-11,1.58607,-0.0436801,-0.829949,1.08422e-06,1.07831e-06,3.36678e-11,0,-0.452171,0.134372,9.41273e-07,9.35238e-07,5.72904e-11,0,0.0788857,-0.752187,9.11205e-07,9.09569e-07,3.20117e-11,0,-0.0225753,-2.79551,4.94332e-07,4.94332e-07
