label,channel,delta_entropy,theta_entropy,alpha_entropy,beta_entropy
0,Fp2-F4,0.06723509832608063,0.008118516805184129,0.0020484901551051904,0.005568324045554466
0,F4-C4,0.06658680501110993,0.0126609002884577,0.002859565666541476,0.013875003753886065
0,C4-P4,0.022315023148795535,0.01674957454662226,0.006486979302767785,0.009465602517552045
0,P4-O2,0.04601134171105504,0.030291231066509734,0.012953729261491305,0.020462004910080784
0,Fp1-F3,0.05640732022791241,0.006200311021100001,0.006100203610243821,0.011007897213007324
0,F3-C3,0.05905442302104285,0.011101360834512486,0.00546064682045832,0.004060280421431996
0,C3-P3,0.1307315860752384,0.03628621652098301,0.0036771720761312678,0.010933214238162417
0,P3-O1,0.043196539362217574,0.02962114754242908,0.0051326461815255344,0.018666866021671478
0,Fp2-F8,0.16020354925541005,0.03988036148755319,0.01340864341289982,0.03683445800381633
0,F8-T4,0.08748106093586677,0.022401824505350092,0.007927778924546235,0.027528439665775863
0,T4-T6,0.007976747945548854,0.006060515535581959,0.0023073851062461515,0.007558466630648227
0,T6-O2,0.03285338470014092,0.003270002361123438,0.0031512238062761373,0.014126952205396835
0,Fp1-F7,0.6073075447281578,0.09731321244557958,0.01776743908001674,0.05502214475140982
0,F7-T3,0.17704794772327287,0.04580286309246269,0.010426956150350965,0.03184509030517366
0,T3-T5,0.4334164181518139,0.05078236789064887,0.010653544785199654,0.016682346724745438
0,T5-O1,0.4624205992037942,0.09752467929964216,0.011860270262493344,0.031823219708366546
0,Fz-Cz,0.12478759062142764,0.019057077675448713,0.005316811897540614,0.007476805010324438
0,Cz-Pz,0.021939032577606713,0.0018652301688128644,0.0027828985684027795,0.011337172379476245
0,Fp2-F4,0.010341508612817404,0.0021968993606940497,0.0016083405139267377,0.009642591752657245
0,F4-C4,0.036095976829535616,0.0031928888008226006,0.0021461936243734763,0.010736731965041605
0,C4-P4,0.05361084937459787,0.0038698466380320496,0.004623989171701134,0.009523009457846291
0,P4-O2,0.03366952902479892,0.022751130994119666,0.017429255604356056,0.0267969806897909
0,Fp1-F3,0.017318424791387167,0.008744864785615382,0.003510116500018716,0.010701783532368427
0,F3-C3,0.005511600602462701,0.005691662094440715,0.002998347268082178,0.008880351015893781
0,C3-P3,0.020293284828571675,0.0027021851273030814,0.001980185689563976,0.011998127241783566
0,P3-O1,0.02045458479223048,0.00618362247040808,0.00568291454805589,0.030225990843089467
0,Fp2-F8,0.014073956864230143,0.016692259630382428,0.007774043041325757,0.037897617202509684
0,F8-T4,0.025791663603491766,0.003272413725916051,0.006611134833855586,0.0231946328456891
0,T4-T6,0.021740111887149405,0.0038873376200045003,0.0043620815495551725,0.01440638848092809
0,T6-O2,0.029237292053293014,0.024802007925448746,0.016252439929477103,0.02715615416242901
0,Fp1-F7,0.03161644793690074,0.04199756643578146,0.01605106390337662,0.041695921934967614
0,F7-T3,0.04262041430955992,0.019626407256121713,0.008568508576525923,0.02589084586795396
0,T3-T5,0.035120916541823526,0.005731080555590728,0.0070728276294713035,0.012210312024820326
0,T5-O1,0.07825198805868976,0.019935526422051673,0.016109561898021454,0.03375514209249064
0,Fz-Cz,0.005327766225701568,0.004344564321871235,0.000972566595472502,0.0064712856447933925
0,Cz-Pz,0.013567323555647725,0.0035603686493426274,0.002600618103149074,0.0165516117846876
0,Fp2-F4,0.006929641142084228,0.0022224333778600013,0.0011927695502017646,0.004582169233190143
0,F4-C4,0.009902663980372315,0.0037660605623328174,0.003229620260546674,0.006593348417190567
0,C4-P4,0.015523151337128858,0.006689227512093443,0.004048709162673183,0.008909751013136622
0,P4-O2,0.029498843878076345,0.023309342652657068,0.015554673310738511,0.03428994422316814
0,Fp1-F3,0.046447681926561776,0.014715076066388107,0.0023594641665194683,0.0151414140069621
0,F3-C3,0.044601851558309286,0.005042391815610284,0.004132893967384348,0.007615166205319003
0,C3-P3,0.02479052650615126,0.0023097481206320403,0.004013943117920217,0.005696453773237395
0,P3-O1,0.014940392109357437,0.01774576814448028,0.0048529524206790495,0.013905671690561078
