label,channel,delta_entropy,theta_entropy,alpha_entropy,beta_entropy
0,Fp2-F4,0.6009017212946697,0.27284957197589677,0.09043934859427488,0.27957495385742437
0,F4-C4,0.3553263796968662,0.1131928235713368,0.03751764325241008,0.02467080903309546
0,C4-P4,0.18516597175904273,0.032672204693138224,0.028779315654241154,0.016739205284994174
0,P4-O2,0.7071994553468608,0.30069013547368445,0.05000874911594261,0.06947954924459833
0,Fp1-F3,0.5186943195418154,0.20767216949526715,0.11293287309211249,0.23033341577584107
0,F3-C3,0.6980425256641392,0.4300289104108841,0.1450033958989664,0.039950431148774626
0,C3-P3,0.09139105213044188,0.15297576625547096,0.07439631256341435,0.03272347876753203
0,P3-O1,0.6565771183110573,0.17852914877650536,0.02937918607140574,0.056529933618705286
0,Fp2-F8,1.1094372151308765,0.4783354620501972,0.09796720006663631,0.23695019491673022
0,F8-T4,0.39509741829405354,0.44279776418754957,0.1819901679566244,0.24501916862272066
0,T4-T6,0.6955561378232886,0.4680708414190926,0.22506382121783977,0.9264427370741573
0,T6-O2,0.4482386844468128,0.4295620408278075,0.3091249345804119,0.7264855441675242
0,Fp1-F7,0.995833210046409,0.46123801600267944,0.25206466634772223,0.28806857905437905
0,F7-T3,0.915352104628318,0.8646113792023986,0.36774513215007787,0.26456841989609936
0,T3-T5,0.4849721645935272,0.5617129608002484,0.16540864261375496,0.41877963555840375
0,T5-O1,0.44902495931250525,0.5456778126756218,0.29817989465036165,0.35089534878769035
0,Fz-Cz,0.4548579683372067,0.11170341964372006,0.03830573093283908,0.014207222468064577
0,Cz-Pz,0.04060241558164301,0.0794673929255953,0.059416608492036185,0.021716606302163648
0,Fp2-F4,0.02380761635435174,0.0578614254857948,0.0676905717302894,0.25866869178910584
0,F4-C4,0.1184092498575252,0.006318603982385368,0.00317297631605916,0.01431181131182143
0,C4-P4,0.04213073318815277,0.002413199889997392,0.00228196596688121,0.013094582463402931
0,P4-O2,0.09820373919730711,0.0040881972316346065,0.007953541085941327,0.035331934851209695
0,Fp1-F3,0.028305995728544867,0.02113713552641045,0.03001711301683975,0.2408997199923638
0,F3-C3,0.07353442354242376,0.0012315126373333516,0.0021120428581802276,0.01345042374547703
0,C3-P3,0.025137046182787417,0.001542838650072686,0.001503557311119847,0.006513944686054619
0,P3-O1,0.04765658921417676,0.02570399323793531,0.007361256669918744,0.06107503587578522
0,Fp2-F8,0.05641623897247985,0.051801341752845245,0.06674441452536489,0.22429349791464304
0,F8-T4,0.0459454147626052,0.012364153379598862,0.020539161283907967,0.16235713248876077
0,T4-T6,0.029600284182275328,0.030820972844243143,0.08345312842599041,0.546914141010985
0,T6-O2,0.06002987019723523,0.020871921397450255,0.07526384538804579,0.46749459746357536
0,Fp1-F7,0.034635156879544264,0.057657301670334234,0.05484028928710562,0.2833518790265525
0,F7-T3,0.07862718979760575,0.044573438679214775,0.021194074612559476,0.18915273957676706
0,T3-T5,0.04199766371830111,0.010863741190666864,0.047420510463262795,0.4803754772721217
0,T5-O1,0.017537012894466054,0.03026368113517067,0.062320946617459246,0.45093397163485055
0,Fz-Cz,0.07413207656159448,0.011212809608381304,0.00295739444397979,0.007295114874715449
0,Cz-Pz,0.01776624637670341,0.0020065755507695086,0.0015915505035607094,0.011782210171088582
0,Fp2-F4,0.04178482050581152,0.018083318636727075,0.06306157038045407,0.3176709027496676
0,F4-C4,0.213048770227301,0.014136844404695014,0.0071379888389565835,0.026998680596089453
0,C4-P4,0.008694022060133456,0.0031399197158022978,0.0039890728474516355,0.008674198060858741
0,P4-O2,0.056768314471473055,0.006223239623837051,0.012308163538250459,0.08239641091686703
0,Fp1-F3,0.05727320115374345,0.03781435152457645,0.03787627302487788,0.3075689648734896
0,F3-C3,0.10137037448263878,0.010607213453219426,0.004227854399394087,0.0110931227766646
0,C3-P3,0.079665904187774,0.01014403444231461,0.0030907190186336567,0.007064436268242709
0,P3-O1,0.05743546822063469,0.003718727668332967,0.008656926124215866,0.04271657426733165
0,Fp2-F8,0.030313330627584314,0.023840986776551835,0.08784053773257501,0.374730291482852
