label,channel,dwt_A4,dwt_D4,dwt_D3,dwt_D2,dwt_D1
1,Fp2-F4,6.255752648818727e-07,5.107024011397063e-09,2.806165557391838e-09,2.2668106267387644e-09,1.2384561062811595e-09
1,F4-C4,4.066031536343524e-06,3.9142999293535984e-08,1.8529788730354655e-08,1.5854136656870745e-09,3.563834658146383e-10
1,C4-P4,8.311782051469699e-07,3.664310449024383e-08,8.78667142718326e-09,8.648521403714455e-10,2.0481387206679639e-10
1,P4-O2,3.566086048677861e-07,2.583688259698457e-09,1.7912901473023295e-09,9.892739335445694e-10,1.612920631176692e-09
1,Fp1-F3,4.757314894447521e-08,3.2005351712143363e-09,2.0420223992256397e-09,2.721841583807981e-09,4.220786969485447e-09
1,F3-C3,1.4603632691894122e-07,1.3651565667004337e-09,1.03136188170163e-09,2.8108681839898087e-10,4.043018575616959e-10
1,C3-P3,9.038505453984031e-08,7.304920683899959e-10,3.4893892173208113e-10,1.110870794413807e-10,1.5601984818586372e-10
1,P3-O1,2.576088891078662e-07,6.375812526276036e-10,1.1681743420947646e-09,7.553263019796754e-10,1.2717507286987589e-09
1,Fp2-F8,1.7025179110778935e-07,1.796891936817987e-09,3.97696972790227e-09,4.69652228877363e-09,4.348347348761652e-09
1,F8-T4,9.607896961950906e-07,1.6211325886002842e-08,6.669860684948379e-09,8.11596940782191e-09,9.979770913615789e-09
1,T4-T6,4.671312571764802e-07,7.731270326924375e-09,5.458636432104433e-09,5.372342910070813e-09,8.511331639579086e-09
1,T6-O2,1.7229880139874118e-07,6.10981253220651e-09,2.5898275605537455e-09,4.370313238247225e-09,8.264147399854629e-09
1,Fp1-F7,1.8971293637479107e-07,1.5250753835480746e-09,2.4979487229452636e-09,3.007696545239402e-09,3.2965625528422662e-09
1,F7-T3,1.8564305645370373e-07,4.3952521625481496e-10,1.0947487695429964e-09,2.5135035517504787e-09,2.6704208002552326e-09
1,T3-T5,1.1300671397232146e-07,1.8555983738474198e-09,2.4485072159959548e-09,6.065953448834996e-09,1.1211769388966068e-08
1,T5-O1,1.2476110811545235e-07,2.430101435179446e-09,4.831097068768265e-09,4.5436348592952315e-09,1.0553436414414746e-08
1,Fz-Cz,2.2750349619300855e-07,2.36604979037098e-09,3.6197307667590197e-09,3.4307850105054353e-10,9.478529313333715e-11
1,Cz-Pz,5.793052577199179e-07,8.242487552259099e-09,1.996850828602929e-09,4.4402849609451854e-10,1.4466341948748918e-10
1,Fp2-F4,1.2838050107466355e-07,5.95592406435224e-09,6.367430332738177e-10,1.2324603454732214e-09,8.698194994706124e-10
1,F4-C4,1.3338620172503204e-05,1.935420526495998e-08,5.937650856248671e-08,2.341431336018999e-08,2.3252338805827195e-09
1,C4-P4,2.779645182930944e-06,3.0866877212625385e-08,2.0777361375057097e-09,5.976337580243284e-10,2.122458902576358e-10
1,P4-O2,8.699033199807504e-07,2.7800733349573137e-09,2.835304910136806e-09,1.428966152061403e-09,1.4534702545125916e-09
1,Fp1-F3,9.884966763966713e-08,8.767643785902753e-10,2.1167295868877003e-09,2.051725858039416e-09,2.479087408367803e-09
1,F3-C3,5.346659050977266e-08,1.9242448545978676e-09,6.613303512821937e-10,4.952433720896231e-10,2.9646241580084466e-10
1,C3-P3,1.1389890576530486e-07,1.4036693691879246e-09,2.7780163109956117e-09,1.4526890795615729e-09,2.7428895871666594e-10
1,P3-O1,8.323365400572147e-08,9.28582918896964e-10,7.515000838797169e-10,5.460876552634156e-10,1.041592377889598e-09
1,Fp2-F8,2.847637135591736e-07,2.9984221493596753e-09,6.448921314084306e-09,6.183077162512704e-09,3.5488143457809322e-09
