label,channel,dwt_A4,dwt_D4,dwt_D3,dwt_D2,dwt_D1
0,Fp2-F4,5.014459131982278e-07,1.0673003760505532e-08,1.1475008134480012e-09,7.780260931701481e-10,7.461078301451692e-11
0,F4-C4,8.855724769802217e-07,1.2001954652797217e-08,3.098631006990282e-09,1.1353580623940637e-09,1.5893271204049734e-10
0,C4-P4,1.3101600656417454e-07,3.1484437897087043e-09,1.5124503707800804e-09,1.709046580358615e-10,2.4999049766932083e-11
0,P4-O2,5.910981102135019e-07,6.68808084600911e-09,1.3404956927783046e-09,2.128189567713011e-10,2.7449069266136665e-11
0,Fp1-F3,1.048582020267184e-05,2.8510562379407856e-06,8.534680196916454e-06,0.00022914316677136585,4.637315692436417e-05
0,F3-C3,1.4985796800442033e-07,4.1295474115229316e-08,1.5809347532025465e-07,4.403415594865379e-06,8.507021950841264e-07
0,C3-P3,1.6726659972348746e-07,3.668423773145803e-08,1.2623230336405598e-07,3.60556142961252e-06,6.786472915809886e-07
0,P3-O1,2.0067418042389698e-07,2.90326517380704e-08,8.063071167386679e-08,3.1275322934255284e-06,5.83246889575619e-07
0,Fp2-F8,5.524824877075101e-07,5.3248411478257594e-09,4.433820881147453e-09,2.840742899330886e-09,3.919849157315707e-10
0,F8-T4,1.7277314942236654e-07,2.1376628465529753e-09,1.025579149756438e-09,7.087375943553297e-10,1.1073860019661079e-10
0,T4-T6,2.2270809199598191e-07,2.663839245905847e-09,7.230525365094909e-10,4.793746282505594e-10,6.857990083119386e-11
0,T6-O2,1.2345442586390698e-07,1.4335951127330728e-09,5.892084400231915e-10,3.460074831458941e-10,4.639523888560253e-11
0,Fp1-F7,1.0350821581060146e-05,2.7457050933648277e-06,8.103874535789531e-06,0.0002233386026792998,4.51258413834471e-05
0,F7-T3,4.927197616765108e-07,1.350422590250022e-07,5.366259840910877e-07,1.3660378489962663e-05,2.67790606525927e-06
0,T3-T5,6.525894501200897e-07,2.112135463710626e-07,8.99538999760381e-07,2.0889025964070567e-05,4.022740988053572e-06
0,T5-O1,3.4901701118122253e-07,8.174364274870804e-08,3.8223474302757865e-07,8.485002018652744e-06,1.586762282070415e-06
0,Fz-Cz,2.678378103769805e-06,2.15373080084402e-08,7.594350276092815e-09,1.2170146207072806e-09,1.6591977115950116e-10
0,Cz-Pz,2.7127488531841547e-07,4.0451494181019275e-09,1.0955191607428282e-09,2.102864702288294e-10,2.8393809926451624e-11
0,Fp2-F4,5.474268541183973e-07,7.864766448698468e-09,5.1484022362878775e-09,4.822432492708879e-10,3.3873454334208076e-11
0,F4-C4,4.968305677230153e-07,6.262989368812039e-09,3.2458077370759408e-09,6.179964203362814e-10,5.088708754976001e-11
0,C4-P4,3.9361700835719734e-07,4.995151433987997e-09,1.583985486915516e-09,8.46422130882051e-11,1.3459051433207902e-11
0,P4-O2,9.281510506148351e-07,4.562989026726733e-09,2.043622273297436e-09,2.1127628672879617e-10,2.3204821254071406e-11
