label,channel,dwt_A4,dwt_D4,dwt_D3,dwt_D2,dwt_D1
0,Fp2-F4,6.762060110877425e-10,1.846607112009489e-11,3.296823151926942e-11,9.195584435732021e-11,5.5935506779002945e-11
0,F4-C4,2.8489125261607005e-09,1.4948768913252998e-11,2.2337353649647184e-11,2.094970155882027e-11,2.5420991573922742e-11
0,C4-P4,1.1725434840694262e-07,3.562810368356551e-11,4.472176207103577e-11,8.961119080535997e-10,1.8074989309085553e-10
0,P4-O2,3.6382440041254847e-07,2.2707424756234778e-09,4.4312076471783315e-09,4.960886124766899e-09,3.3370508544570477e-09
0,Fp1-F3,7.984520819065541e-09,2.1475576241653693e-11,3.486780373098949e-11,1.30928346740949e-10,6.642152945521591e-11
0,F3-C3,6.964028616374976e-09,1.4388710891201696e-11,3.600910483209871e-11,4.7719940927627677e-11,3.816237064048043e-11
0,C3-P3,4.245945092324961e-09,2.2505790937409406e-11,2.4551605773657094e-11,6.16597553256919e-11,3.245989796996236e-11
0,P3-O1,4.0749811018084657e-08,4.2943080938614317e-11,8.985330759053747e-11,6.499696460032164e-10,1.4192414922841892e-10
0,Fp2-F8,7.384117776775954e-08,5.3113598700333675e-11,1.5416715476858833e-10,2.104399243733029e-10,7.947760884750641e-11
0,F8-T4,1.814841180959813e-07,1.1609707670471501e-10,3.0731903016741205e-10,4.858118271963536e-10,1.2433964903777646e-10
0,T4-T6,4.4557815378942033e-07,8.400845472591362e-10,1.5974131712837608e-09,5.246909096903271e-09,2.4181190210102126e-09
0,T6-O2,3.889176473088398e-08,3.554883391874059e-09,6.800185492573947e-09,1.0785067751206993e-08,5.300261835548111e-09
0,Fp1-F7,9.214578350011923e-08,7.55296644021238e-11,9.349072516537008e-11,2.2596300980040577e-10,9.57863569639108e-11
0,F7-T3,4.158611424990231e-07,4.2124689660839944e-10,1.391491740287825e-09,1.3768200869075813e-09,1.678112603614808e-09
0,T3-T5,1.9360245612614542e-07,1.1243916240024162e-09,2.6166279033073134e-09,4.076747088831943e-09,3.3109748637915117e-09
0,T5-O1,2.2359331494126066e-09,6.152539956210594e-10,9.947669037541202e-10,3.2637166051488835e-09,1.9686304570776628e-09
0,Fz-Cz,1.3498509441282761e-08,2.1761505123379598e-11,3.652550051375622e-11,8.189634317559646e-11,4.568991685158322e-11
0,Cz-Pz,5.2063123943093604e-09,1.0569761428924952e-11,1.8040131739900467e-11,2.5807464057793596e-11,2.8523431222679123e-11
0,Fp2-F4,4.912281598851789e-10,3.104154409336328e-11,4.711349846167272e-11,9.533758183934929e-11,5.6334305937314093e-11
0,F4-C4,4.127283885458852e-10,1.1727269203961295e-11,3.653916449378298e-11,3.393630217899327e-11,2.104702306181796e-11
0,C4-P4,6.342132393025006e-08,2.1054129613016308e-11,4.472076098714414e-11,7.730561296336528e-10,1.8051829615591616e-10
0,P4-O2,3.012123321651628e-07,4.4139161763471364e-09,1.2342022753197862e-08,8.66265240618891e-09,5.902545302048649e-09
0,Fp1-F3,5.90386567329886e-09,2.278088317875021e-11,3.1849512549688615e-11,9.66993090749458e-11,6.217111483346531e-11
0,F3-C3,3.0513298353784226e-09,1.1474929797236085e-11,4.821756982036118e-11,5.104977327490048e-11,4.243401975638872e-11
0,C3-P3,6.988931874976317e-09,2.586195561918915e-11,3.3667828212180175e-11,5.7290361226834015e-11,3.201173886961493e-11
0,P3-O1,4.128395048195172e-08,8.67493485786943e-11,1.4224650418034582e-10,6.884137391891167e-10,1.913719509597081e-10
0,Fp2-F8,4.0187310571832374e-08,1.7056372594198938e-10,1.1123225356649789e-10,1.8883251193585676e-10,6.717565436768972e-11
0,F8-T4,1.504047012988631e-07,2.758576329933622e-10,3.3582297785954735e-10,3.7997958689306857e-10,1.3281840264912531e-10
0,T4-T6,3.628160220033205e-07,1.0874465982056866e-09,1.915076781227554e-09,5.731889951185158e-09,4.3966508628988295e-09
0,T6-O2,1.5622793385751226e-08,4.145008597916592e-09,1.4057434947943753e-08,1.3177999781596636e-08,1.0635129216215741e-08
0,Fp1-F7,6.055702320300032e-08,8.976485216138407e-11,7.56872429700953e-11,1.2428534452648277e-10,8.009968169455619e-11
0,F7-T3,3.6730928003054386e-07,3.240130014935469e-10,5.517547800846967e-10,1.8834988019571197e-09,2.3192711501853153e-09
0,T3-T5,2.0650643154450617e-07,1.1741374534091443e-09,2.404030660756109e-09,4.738086665468757e-09,4.96470822918958e-09
0,T5-O1,2.177968260665242e-09,7.048781346937769e-10,1.4190248396710666e-09,4.3756619942511795e-09,3.988353850388821e-09
0,Fz-Cz,1.6164827659601494e-08,2.921486173341493e-11,5.703139097794241e-11,8.790553552214906e-11,5.1600979898857575e-11
0,Cz-Pz,4.599899610372409e-09,1.1623519994406773e-11,1.5478076361565485e-11,2.142037562470566e-11,2.910677715794927e-11
0,Fp2-F4,2.2367197768321654e-09,3.84192669672735e-11,4.055036777912036e-11,1.0158264461471232e-10,4.568743057223445e-11
0,F4-C4,1.7710081955468369e-09,2.4287478857303108e-11,1.53629173061424e-11,2.9000363438074005e-11,2.6747408455885648e-11
0,C4-P4,1.1026006143884713e-08,6.128062444154409e-11,6.333850792799328e-11,7.936572943566865e-10,2.154165856969264e-10
0,P4-O2,1.820301955758661e-07,5.7320813410385394e-09,8.260121027755708e-09,9.816979292979484e-09,6.920441952050539e-09
0,Fp1-F3,3.3154075574307077e-09,4.9063437607189605e-11,4.675998043074459e-11,9.502541035637528e-11,4.860187018549905e-11
0,F3-C3,5.883722157291256e-09,2.3540518060897808e-11,3.407723602637058e-11,5.70631605650829e-11,3.3743047388852707e-11
0,C3-P3,4.2054103512855755e-09,1.9456670218989825e-11,4.136588157108178e-11,6.679446280267969e-11,3.295634121838818e-11
0,P3-O1,2.91487231660787e-08,1.1436908823853139e-10,1.3075748905943374e-10,8.314567198137189e-10,2.0657466619688135e-10
0,Fp2-F8,2.9512778368282146e-08,1.5885865869349915e-10,1.1844789603842563e-10,1.3824347614443822e-10,5.210551642598749e-11
0,F8-T4,1.0599420970536451e-07,1.5486333755939555e-10,3.113249690996166e-10,4.1570937183382834e-10,1.300822167293551e-10
0,T4-T6,2.5989527779871915e-07,4.2910534103788947e-10,1.5927347213823142e-09,6.6562482052740654e-09,5.062306603880542e-09
0,T6-O2,1.178541948614326e-08,6.3078436246142314e-09,1.0249002395803333e-08,1.692091152228786e-08,1.2172706167751495e-08
0,Fp1-F7,3.4496873503823135e-08,8.374466068195077e-11,1.2171495296816812e-10,1.4138807977998667e-10,6.782931875355277e-11
0,F7-T3,2.9677506416153874e-07,5.396990309003021e-10,8.889936917739807e-10,2.012625403357026e-09,1.5154979561844065e-09
0,T3-T5,1.4438323616141792e-07,2.6128919590384494e-09,2.7679534507608395e-09,6.933520827237631e-09,6.045149624862235e-09
0,T5-O1,4.400672380123675e-09,1.9599629768183473e-09,2.042278205221916e-09,5.5367812708025774e-09,4.933576467640477e-09
0,Fz-Cz,6.597905552821472e-09,2.9756337916670835e-11,4.135160450027367e-11,7.594688888516049e-11,5.809294828037448e-11
0,Cz-Pz,7.869813402847937e-09,2.0764038989078036e-11,2.295691163923051e-11,2.717622942039067e-11,2.6734796950358802e-11
0,Fp2-F4,4.75023840706018e-09,7.360712113006033e-11,5.371245749758155e-11,8.667301764901412e-11,5.5000145368093735e-11
0,F4-C4,7.614396528949145e-10,3.206394679173957e-11,2.0780138302787102e-11,3.670607884143743e-11,2.886737499557011e-11
0,C4-P4,1.9101808610772967e-09,2.187403912213203e-11,5.563164459749876e-11,7.892944256932753e-10,2.2429218716970224e-10
0,P4-O2,8.29546135496247e-08,4.451060093050369e-09,9.202345754775346e-09,1.1409600660782048e-08,7.972786611296024e-09
0,Fp1-F3,1.834649687718585e-09,7.28400011641321e-11,4.680865671560441e-11,7.947900242126332e-11,4.979181731920418e-11
0,F3-C3,6.855395342292486e-09,4.182619484922479e-11,4.047294894422427e-11,3.6914167386917105e-11,3.979171075614665e-11
0,C3-P3,3.0412705848105932e-09,2.881898830905555e-11,2.6412291876329533e-11,5.527080264925202e-11,3.9525328896214065e-11
0,P3-O1,1.715852693330455e-08,7.035380520791302e-11,1.382379301252781e-10,7.612995253672933e-10,2.1009478422094836e-10
0,Fp2-F8,2.546259242903466e-08,1.2734099801427734e-10,1.1331527220771994e-10,1.358308412557394e-10,7.823243951387848e-11
0,F8-T4,4.9316174226927914e-08,1.2854473509905995e-10,3.3469422935349025e-10,4.25909370115076e-10,1.558513543286555e-10
0,T4-T6,2.0029730521911308e-07,7.464824761374455e-10,3.0348333431691675e-09,5.5832435275020656e-09,7.42859651440382e-09
0,T6-O2,1.472171906405751e-08,3.829838501944836e-09,1.1480901513847631e-08,1.8144589931232048e-08,1.9746259068004685e-08
0,Fp1-F7,1.3355231837864918e-08,1.2305844201631392e-10,1.3128200473565458e-10,1.4547114181014795e-10,8.110320003419096e-11
0,F7-T3,1.937345009853422e-07,4.2423076565856454e-10,7.828676746832407e-10,1.8683012159879167e-09,1.8908264884749085e-09
0,T3-T5,8.940597520493213e-08,9.88963248546067e-10,3.2358283894132676e-09,6.879216517145136e-09,6.0211237725663e-09
0,T5-O1,1.1202079690021417e-09,5.010239399204399e-10,2.6240792583011297e-09,4.573210330156269e-09,4.459077199142718e-09
0,Fz-Cz,1.8852798266640747e-09,5.177501668125749e-11,3.416501871208511e-11,6.893043566675441e-11,5.830155910325912e-11
0,Cz-Pz,7.100503320774751e-09,9.717190442966078e-12,1.828410178635524e-11,2.1702281894091677e-11,2.2084424424586093e-11
0,Fp2-F4,3.598823593913729e-09,3.7548708093577075e-11,8.351006655240751e-11,7.079443388696105e-11,5.5669382854840516e-11
0,F4-C4,6.527112651832102e-10,2.1111337501348096e-11,1.820982475384286e-11,3.0073627020658066e-11,2.5399864865045635e-11
0,C4-P4,3.629897851135355e-10,2.218148225714074e-11,3.5399543291085746e-11,7.874183324954947e-10,2.06567007092775e-10
0,P4-O2,3.0493943292815604e-08,2.9114518965539582e-09,1.026097279653988e-08,1.0847936512029443e-08,6.823336222304804e-09
0,Fp1-F3,1.973623071643543e-09,5.614034802334715e-11,5.004932238446298e-11,7.225272225528165e-11,5.099994083419834e-11
0,F3-C3,5.726311975961535e-09,2.7862603551651854e-11,2.983282467091127e-11,5.6227692156586616e-11,4.3607192809108797e-11
0,C3-P3,2.0691760310236054e-09,4.337504350067991e-11,6.48034179808741e-11,4.440933680617399e-11,4.328253833559999e-11
0,P3-O1,1.1517312487828726e-08,1.4165213581821482e-10,1.9443852186092417e-10,7.407251458113401e-10,2.0945154551494732e-10
0,Fp2-F8,1.5137146773518877e-08,1.291423222482715e-10,2.1965437924154712e-10,1.5610426023054737e-10,7.738321247188838e-11
0,F8-T4,3.015282193687468e-08,1.9260690777471898e-10,3.904062224993812e-10,4.876623383014628e-10,1.184374026893762e-10
0,T4-T6,1.2794533083789286e-07,1.331520592207264e-09,4.555237844425252e-09,6.1808062172620686e-09,6.2820045097159735e-09
0,T6-O2,1.4347485369427694e-08,4.07241552400676e-09,2.0955754370580124e-08,1.6584823431135686e-08,1.746956522945729e-08
0,Fp1-F7,7.0708967754359886e-09,1.1999745502412256e-10,8.290561280984202e-11,1.3755940621071384e-10,1.037433026051367e-10
0,F7-T3,1.3135197637005286e-07,4.10671308241681e-10,8.313141674331504e-10,1.118987604272724e-09,2.322111913786151e-09
0,T3-T5,5.995101184921376e-08,3.7006478241916776e-09,4.126608573601728e-09,4.740728010660622e-09,5.742625706067271e-09
0,T5-O1,3.3642917437862336e-09,2.99848142761218e-09,3.653372741495515e-09,5.154156877600039e-09,4.3912313572912815e-09
0,Fz-Cz,9.085812055539693e-10,3.2632999723401215e-11,3.697394050829627e-11,7.749999486422789e-11,4.064252922419467e-11
0,Cz-Pz,5.920384927639553e-09,1.9462879270678113e-11,1.794958419833005e-11,2.2725736236620303e-11,2.2303373530609246e-11
0,Fp2-F4,8.516890776370694e-10,2.5096352384065668e-11,3.6700437769793904e-11,7.117353187189205e-11,5.309491133153925e-11
0,F4-C4,1.3821365531878145e-10,1.5775243753019334e-11,1.7819919513183774e-11,3.115764701606811e-11,2.7633265575310498e-11
0,C4-P4,8.14658069193771e-10,2.2735432946282326e-11,2.2986524190429433e-11,7.94163485233925e-10,1.7281955902004025e-10
0,P4-O2,2.089549134423644e-08,6.1349775981860065e-09,8.338945312894419e-09,9.271085794594863e-09,7.882874245607008e-09
0,Fp1-F3,6.655046320582039e-10,2.1157419610982995e-11,3.423820845785533e-11,7.573445249850675e-11,4.0144660032238e-11
0,F3-C3,2.828465480327583e-09,2.742092750236221e-11,3.5123525172232746e-11,5.964121334977204e-11,4.49676582637693e-11
0,C3-P3,1.21421394378864e-09,1.9207689925885688e-11,4.693938709084757e-11,5.304969979675155e-11,4.5725777941005245e-11
0,P3-O1,5.8343847717667025e-09,6.769543448676536e-11,1.2629930467817357e-10,6.858688441690197e-10,2.450773913865492e-10
0,Fp2-F8,1.0590070613187802e-08,1.7037729179558012e-10,9.399213691715763e-11,1.3761724120192514e-10,6.556844270559679e-11
0,F8-T4,1.3119386844613805e-08,2.41972251663224e-10,3.6108378595458433e-10,4.5633401084140284e-10,1.1517981469795837e-10
0,T4-T6,6.183367888912884e-08,1.721413388506846e-09,1.1780959888320346e-09,6.335730805485706e-09,4.676727531972311e-09
0,T6-O2,1.0890631788038467e-08,8.956390939494883e-09,9.616814183575865e-09,1.7987695930789263e-08,1.467197489997722e-08
0,Fp1-F7,5.301146505849446e-09,1.3401505251557933e-10,6.573485748378023e-11,1.0789699024667443e-10,6.30772398787e-11
0,F7-T3,7.828493808719053e-08,5.169276689249357e-10,8.755367626498078e-10,1.6810675744401711e-09,2.267456580877473e-09
0,T3-T5,3.421518989782293e-08,1.0406544341972776e-09,2.8026202681104413e-09,6.0538370502409024e-09,6.943647316677302e-09
0,T5-O1,7.297530065985957e-10,1.147601223320128e-09,2.034366211899256e-09,5.4133719174556315e-09,3.745761733038518e-09
0,Fz-Cz,5.471545170238573e-10,1.3782500460480962e-11,5.1878386156831976e-11,7.593100869590532e-11,5.1527578735032776e-11
0,Cz-Pz,5.583611243304184e-09,8.926231062895478e-12,1.662710900349369e-11,3.264431563521015e-11,2.8003775823927966e-11
0,Fp2-F4,5.100471166381341e-10,8.971645406356283e-12,4.231809431270394e-11,7.51128627429095e-11,5.8053772136921626e-11
0,F4-C4,3.4866586273375863e-10,2.1133351256158272e-11,1.9516719731650403e-11,3.4760891286463544e-11,3.145896389896318e-11
0,C4-P4,2.699289681303819e-10,2.7288779318530125e-11,4.3631845414046116e-11,7.555245508500717e-10,1.8708670305465243e-10
0,P4-O2,7.0787755175747645e-09,4.73295233456259e-09,4.539166453422479e-09,1.0917101641257316e-08,7.125424140907258e-09
0,Fp1-F3,3.019398361490091e-10,1.4122372471304188e-11,2.4765105927078366e-11,7.025049113839994e-11,4.4203350939284816e-11
0,F3-C3,1.968329985382309e-09,2.172149629559693e-11,2.4823843871380407e-11,4.914918365969861e-11,4.2848204273375046e-11
