label,channel,imf1_var,imf1_energy,imf2_var,imf2_energy,imf3_var,imf3_energy
0,Fp2-F4,1.009731465797635e-12,2.585473125414897e-10,8.487735778202773e-12,6.17838101928034e-09,0.0,0.0
0,F4-C4,5.394571850593044e-13,1.4266459072520044e-10,2.3307950934267978e-11,7.65337146608936e-09,0.0,0.0
0,C4-P4,3.8804146008537484e-13,9.978682025394261e-11,2.7334051579699072e-11,1.997011070928182e-08,0.0,0.0
0,P4-O2,3.5297077036127806e-13,9.03608795556301e-11,2.92435661539754e-11,3.99004369746609e-08,0.0,0.0
0,Fp1-F3,1.6259214992672378e-11,4.162370581422545e-09,1.6674103516420956e-11,1.2183310835424541e-08,0.0,0.0
0,F3-C3,1.0864424563560572e-12,2.786244071135902e-10,1.9642851145167015e-11,5.631265714982409e-09,0.0,0.0
0,C3-P3,3.656835790364591e-13,9.363662489908249e-11,6.875780010176601e-11,3.1446396292497156e-08,0.0,0.0
0,P3-O1,1.348163069883074e-11,3.4513549327561343e-09,2.247509465742887e-10,2.007671260774965e-07,0.0,0.0
0,Fp2-F8,1.3823290040479409e-12,3.5390790728278765e-10,3.422770448536675e-11,3.2999563325435816e-08,0.0,0.0
0,F8-T4,1.9896867682844172e-11,5.0961634069963595e-09,1.6318986365075337e-11,4.700268476946156e-09,0.0,0.0
0,T4-T6,1.755985450080731e-11,4.5027701352737e-09,7.863803784267555e-11,4.504728888342108e-08,0.0,0.0
0,T6-O2,1.3447206346850122e-12,3.444198098485358e-10,8.831546737893255e-12,5.720193184492774e-09,0.0,0.0
0,Fp1-F7,2.361189831586841e-11,6.0453011412848314e-09,8.316123945008582e-11,2.325471069448064e-08,0.0,0.0
0,F7-T3,5.4803767206053764e-11,1.4066357859593964e-08,6.090454513733152e-11,1.68132361204884e-08,0.0,0.0
0,T3-T5,4.4332789189743075e-11,1.1350423048296095e-08,1.268160538475026e-10,6.198642201155225e-08,0.0,0.0
0,T5-O1,2.2516964511118428e-11,5.7645761535559274e-09,2.930892946884877e-11,5.0957527841647846e-08,0.0,0.0
0,Fz-Cz,3.0959176044845213e-13,7.929404687248895e-11,3.9985344427922616e-11,1.5788565388480187e-08,0.0,0.0
0,Cz-Pz,3.472474966597473e-13,8.909148937825974e-11,9.256956022293066e-12,6.335682135787588e-09,0.0,0.0
0,Fp2-F4,1.0903546910343483e-11,2.7914880463711876e-09,1.2794085539390641e-10,3.5642430270356016e-08,0.0,0.0
0,F4-C4,6.520265811177113e-13,1.6694151684622044e-10,2.1449032592139446e-11,4.101647089333059e-08,0.0,0.0
0,C4-P4,1.4261634948290634e-13,3.6510386644196475e-11,4.327932629441037e-11,9.643899873897543e-08,0.0,0.0
0,P4-O2,4.836410335258519e-13,1.2386286060210443e-10,2.618303255991957e-11,1.269222289605701e-07,0.0,0.0
0,Fp1-F3,2.619481412965295e-11,6.7099302623564326e-09,1.3485312638350263e-10,1.1062004590465943e-07,0.0,0.0
0,F3-C3,3.314178211196505e-12,8.484318262992436e-10,2.8720957141808247e-11,1.7532154296372177e-08,0.0,0.0
0,C3-P3,4.163728062023186e-13,1.0664422215944484e-10,8.862388830645274e-10,7.182662753963479e-07,0.0,0.0
0,P3-O1,1.3273519959798236e-11,3.398183320798433e-09,3.2537681381669885e-10,1.3867865182094228e-06,0.0,0.0
0,Fp2-F8,1.0157209606479944e-11,2.6034894224437277e-09,2.1043457403679737e-11,1.0207410240121013e-07,0.0,0.0
0,F8-T4,1.9405466587339982e-11,4.971135664036952e-09,5.003562157500886e-11,2.3085618160998993e-08,0.0,0.0
0,T4-T6,1.0277379524357442e-11,2.631009659687426e-09,6.608921140632029e-11,2.4200281613627624e-07,0.0,0.0
0,T6-O2,1.3228260120384692e-12,3.388811190638225e-10,1.4921826765890357e-11,1.2006614652451562e-08,0.0,0.0
0,Fp1-F7,2.306878448650749e-11,5.914824379664404e-09,6.492910974672484e-11,1.855916408933472e-07,0.0,0.0
0,F7-T3,2.8557831155129476e-11,7.3111634009983e-09,7.655123315974167e-11,4.463285412475076e-08,0.0,0.0
0,T3-T5,3.427976642722636e-11,8.77633382357544e-09,3.3145904432242916e-10,1.0876875257825355e-07,0.0,0.0
0,T5-O1,2.249795113041608e-11,5.762213634678772e-09,4.6832707305957837e-11,1.7864632371805866e-07,0.0,0.0
0,Fz-Cz,6.007973144905581e-13,1.5563805567741983e-10,9.510723186982527e-12,1.6821897516963405e-08,0.0,0.0
0,Cz-Pz,3.428858068778974e-13,8.781684203198935e-11,5.264988270642468e-10,1.9468710699627247e-07,0.0,0.0
0,Fp2-F4,3.210248428643177e-12,8.220742933770777e-10,1.9828018973387649e-10,5.426260181486896e-08,0.0,0.0
0,F4-C4,3.1898299089815795e-13,8.213129760910941e-11,1.8199467600812218e-10,6.265671463713188e-08,0.0,0.0
0,C4-P4,2.1149855966746798e-13,5.4174311525856144e-11,8.731367467179645e-11,8.17301000388601e-08,0.0,0.0
0,P4-O2,7.068196500497962e-13,1.809536720683461e-10,2.965194572283129e-11,1.0714523857989051e-07,0.0,0.0
0,Fp1-F3,1.285113455697341e-11,3.290235848094878e-09,8.670600431628636e-11,1.614172325629265e-07,0.0,0.0
0,F3-C3,2.2325682487095145e-12,5.719415297088229e-10,1.0941702575273741e-11,3.001650617437308e-08,0.0,0.0
0,C3-P3,4.550266067028507e-13,1.1655618552756124e-10,8.851609191489446e-10,1.2340598238157705e-06,0.0,0.0
0,P3-O1,1.0168398178203261e-11,2.6031146953070466e-09,1.0833154271011807e-09,1.7391277942327977e-06,0.0,0.0
0,Fp2-F8,4.679613714337376e-12,1.1979856721688319e-09,2.4451606185205603e-11,2.2861931472937895e-07,0.0,0.0
0,F8-T4,4.57590310995758e-12,1.1715849454591473e-09,1.91572614642e-11,1.2384325538514057e-07,0.0,0.0
0,T4-T6,2.1570007060171684e-12,5.521944521744651e-10,1.979039593446659e-11,2.1241319312816153e-07,0.0,0.0
0,T6-O2,4.249751624006863e-13,1.088971238838055e-10,8.164215290880441e-12,4.2512758409813504e-09,0.0,0.0
0,Fp1-F7,1.2531807244380037e-11,3.2093345084665806e-09,3.5002331186950105e-11,1.6167960005954131e-07,0.0,0.0
0,F7-T3,7.977558558046495e-12,2.0481709047186454e-09,1.9707882945673597e-11,1.1875488041356386e-08,0.0,0.0
0,T3-T5,7.448583681098457e-12,1.9068815716680797e-09,6.033896325181301e-11,1.7792971072579696e-08,0.0,0.0
0,T5-O1,2.2829756036861444e-11,5.84442011900206e-09,1.8204142336659474e-10,2.830005476913871e-07,0.0,0.0
0,Fz-Cz,2.843084067970163e-13,7.288053783598253e-11,6.569975007608067e-11,1.7899235044322643e-08,0.0,0.0
0,Cz-Pz,3.314241678001815e-13,8.486660753085666e-11,5.306465588873793e-10,2.6495143584827763e-07,0.0,0.0
0,Fp2-F4,2.8005933397534983e-12,7.171834005958571e-10,2.4593920004934177e-12,7.79763368594432e-08,0.0,0.0
0,F4-C4,1.6934812414684146e-13,4.339663339041758e-11,3.135934406057403e-11,1.1241358682613725e-08,0.0,0.0
0,C4-P4,1.965746128369836e-13,5.0342570324695146e-11,1.629838270739517e-11,1.089238372658501e-08,0.0,0.0
0,P4-O2,4.395390459080764e-13,1.1255968863667413e-10,1.504236116718626e-10,4.9617624462944984e-08,0.0,0.0
0,Fp1-F3,1.3596910341310835e-11,3.4822359871129902e-09,2.9777188750796485e-11,8.525677961348083e-09,0.0,0.0
0,F3-C3,2.3062034118837932e-12,5.911721151099942e-10,3.567312633089088e-11,1.0874301739672309e-08,0.0,0.0
0,C3-P3,5.665011400867357e-13,1.450858875287291e-10,1.3218599591804098e-10,6.535664169556101e-08,0.0,0.0
0,P3-O1,1.0612613963356154e-11,2.717105378365926e-09,2.190642744847342e-11,1.199669136423336e-07,0.0,0.0
